"","fips","state","county","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","HLTHPLN1","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm"
"1402",36105,36,105,2012,15.6153846153846,0.0714285714285714,0.119047619047619,0.0476190476190476,0.214285714285714,55.9756097560976,0.595238095238095,1,0,0,0,0,0.357142857142857,0.642857142857143,0.025,0,0.075,0.1,0.125,0.175,0.125,0.375,0.476190476190476,0.523809523809524,0.595238095238095,0.0476190476190476,0.0476190476190476,0,0.30952380952381,1,0.833333333333333,0.268292682926829,0.536585365853659,0.487179487179487,0.230769230769231,0.282051282051282,27.2035897435897,0.166666666666667,0.30952380952381,0.261904761904762,0.19047619047619,0.0714285714285714,0.30952380952381
"1403",36107,36,107,2012,12.125,0.115384615384615,0.115384615384615,0.0384615384615385,0.192307692307692,60.6923076923077,0.615384615384615,NA,NA,NA,NA,0,0.461538461538462,0.538461538461538,0.0952380952380952,0,0.238095238095238,0,0.19047619047619,0.238095238095238,0.0476190476190476,0.19047619047619,0.5,0.5,0.32,0.04,0.16,0.08,0.4,0.884615384615385,0.653846153846154,0.115384615384615,0.32,0.307692307692308,0.384615384615385,0.307692307692308,28.2442307692308,0.12,0.4,0.32,0.12,0.04,0.384615384615385
"1404",36109,36,109,2012,11.1333333333333,0.148936170212766,0.191489361702128,0.0425531914893617,0.170212765957447,53.7555555555556,0.680851063829787,NA,NA,NA,NA,0,0.319148936170213,0.680851063829787,0.0263157894736842,0.0526315789473684,0.131578947368421,0.0789473684210526,0.184210526315789,0.157894736842105,0.157894736842105,0.210526315789474,0.456521739130435,0.543478260869565,0.574468085106383,0.0212765957446809,0.0851063829787234,0.0212765957446809,0.297872340425532,0.957446808510638,0.617021276595745,0.136363636363636,0.534883720930233,0.568181818181818,0.181818181818182,0.25,27.4725,0.127659574468085,0.425531914893617,0.297872340425532,0.0638297872340425,0.0851063829787234,0.227272727272727
"1405",36111,36,111,2012,11.5454545454545,0.0779220779220779,0.0789473684210526,0.0657894736842105,0.0779220779220779,55.8243243243243,0.61038961038961,0.5,0,0.5,0,0.025974025974026,0.25974025974026,0.714285714285714,0.125,0.0625,0.046875,0.078125,0.046875,0.09375,0.171875,0.375,0.486842105263158,0.513157894736842,0.519480519480519,0.038961038961039,0.051948051948052,0.025974025974026,0.363636363636364,0.935064935064935,0.818181818181818,0.144736842105263,0.567567567567568,0.355263157894737,0.381578947368421,0.263157894736842,27.4294736842105,0.155844155844156,0.38961038961039,0.233766233766234,0.181818181818182,0.038961038961039,0.298701298701299
"1406",36113,36,113,2012,12.8571428571429,0.024390243902439,0.0731707317073171,0.024390243902439,0.121951219512195,58.85,0.609756097560976,NA,NA,NA,NA,0.0487804878048781,0.292682926829268,0.658536585365854,0,0.0789473684210526,0.105263157894737,0.0789473684210526,0.0526315789473684,0.210526315789474,0.184210526315789,0.289473684210526,0.51219512195122,0.48780487804878,0.560975609756098,0.0487804878048781,0.0487804878048781,0,0.341463414634146,1,0.804878048780488,0.219512195121951,0.682926829268293,0.425,0.225,0.35,27.96575,0.219512195121951,0.219512195121951,0.317073170731707,0.170731707317073,0.0731707317073171,0.341463414634146
"1407",36115,36,115,2012,6.36363636363636,0.04,0.0416666666666667,0,0.12,60.72,0.56,1,0,0,0,0,0.416666666666667,0.583333333333333,0,0.0454545454545455,0.136363636363636,0,0.272727272727273,0.136363636363636,0.136363636363636,0.272727272727273,0.52,0.48,0.32,0.08,0.12,0,0.48,0.96,0.72,0.12,0.48,0.333333333333333,0.333333333333333,0.333333333333333,28.3733333333333,0.166666666666667,0.375,0.416666666666667,0.0416666666666667,0,0.166666666666667
"1408",36117,36,117,2012,7.46153846153846,0.0769230769230769,0.0526315789473684,0.0769230769230769,0.0512820512820513,56.6666666666667,0.487179487179487,NA,NA,NA,NA,0.102564102564103,0.384615384615385,0.512820512820513,0.0645161290322581,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0645161290322581,0.161290322580645,0.225806451612903,0.193548387096774,0.384615384615385,0.615384615384615,0.41025641025641,0.0256410256410256,0.0256410256410256,0.0512820512820513,0.487179487179487,0.948717948717949,0.710526315789474,0.230769230769231,0.435897435897436,0.421052631578947,0.289473684210526,0.289473684210526,26.6702631578947,0.282051282051282,0.205128205128205,0.282051282051282,0.205128205128205,0.0256410256410256,0.179487179487179
"1409",36119,36,119,2012,9.85,0.0365448504983389,0.0364238410596026,0.033112582781457,0.118811881188119,56.1196013289037,0.577049180327869,0,1,0,0,0.0396039603960396,0.207920792079208,0.752475247524752,0.03515625,0.06640625,0.05859375,0.015625,0.05859375,0.125,0.16015625,0.48046875,0.518151815181518,0.481848184818482,0.559602649006622,0.0496688741721854,0.0596026490066225,0.0231788079470199,0.30794701986755,0.894736842105263,0.780327868852459,0.0875420875420875,0.640677966101695,0.454545454545455,0.370629370629371,0.174825174825175,26.232972027972,0.240131578947368,0.3125,0.289473684210526,0.121710526315789,0.0361842105263158,0.218855218855219
"1410",36121,36,121,2012,4.25,0.266666666666667,0.133333333333333,0,0.133333333333333,63.4,0.6,NA,NA,NA,NA,0.0666666666666667,0.4,0.533333333333333,0,0.0833333333333333,0.25,0,0.166666666666667,0,0.0833333333333333,0.416666666666667,0.266666666666667,0.733333333333333,0.466666666666667,0,0,0,0.533333333333333,1,0.6,0.0666666666666667,0.466666666666667,0.4,0.266666666666667,0.333333333333333,28.4733333333333,0.0666666666666667,0.466666666666667,0.333333333333333,0.0666666666666667,0.0666666666666667,0.266666666666667
"1411",36123,36,123,2012,2,0.142857142857143,0,0.142857142857143,0.285714285714286,54.4285714285714,0.571428571428571,NA,NA,NA,NA,0,0.428571428571429,0.571428571428571,0.142857142857143,0,0,0,0.285714285714286,0.142857142857143,0.285714285714286,0.142857142857143,0.714285714285714,0.285714285714286,0.571428571428571,0.142857142857143,0,0,0.285714285714286,1,0.571428571428571,0.428571428571429,0.666666666666667,0.285714285714286,0.571428571428571,0.142857142857143,27.74,0.142857142857143,0.428571428571429,0.285714285714286,0,0.142857142857143,0.285714285714286
