"state","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","HLTHPLN1","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm"
24,2011,10.9424733034792,0.0513888888888889,0.0563786417420702,0.0353500346568967,0.116306716861502,54.7334270791482,0.625284175150736,0.451612903225806,0.32258064516129,0.0645161290322581,0.161290322580645,0.0154060232581254,0.318059835006461,0.666534141735414,0.0310734463276836,0.0360169491525424,0.0532015065913371,0.0816854990583804,0.0928672316384181,0.126530131826742,0.158309792843691,0.420315442561205,0.554715479506566,0.445284520493434,0.559896610000994,0.0572621532955562,0.0496073168306989,0.0158067402326275,0.317427179640123,0.923046449440428,0.738124741842214,0.146804492595169,0.556979453505613,0.346772486772487,0.373227513227513,0.28,27.775691005291,0.203666997026759,0.344796828543112,0.299306243805748,0.114073339940535,0.0381565906838454,0.254082163286531
25,2011,11.2865104315519,0.0544480943166989,0.0529783393501805,0.0324768664091277,0.147830383613332,54.806277945068,0.620252597635256,0.580645161290323,0.219354838709677,0.0258064516129032,0.174193548387097,0.0343551081215295,0.307074172723579,0.658570719154891,0.0486431406199721,0.0559905609782259,0.0772283599699667,0.0956773570739032,0.105438163681218,0.134184275447817,0.14710929958168,0.335728842647217,0.473076400525339,0.526923599474661,0.541408756155966,0.0690823656982786,0.0404825373876113,0.020512357113812,0.328513983644332,0.952834854547907,0.742512358243675,0.164198645598194,0.600821396373835,0.385934151568284,0.368546658873953,0.245519189557764,27.2048796999805,0.207477643463803,0.324855075720128,0.289129555565542,0.129420752258122,0.0491169729924055,0.261353561225495
26,2011,10.6556564822461,0.0686550877512049,0.0681382833166104,0.044109638772917,0.138939338903015,55.5974974883551,0.59860620870667,0.610878661087866,0.213389121338912,0.0251046025104603,0.150627615062762,0.0157780195865071,0.364798694232862,0.619423286180631,0.0602384438402008,0.0634804434218783,0.0858606985986195,0.107299728090358,0.140451788328802,0.161472495293872,0.161054172767204,0.220142229659067,0.508713015066255,0.491286984933745,0.438577390673199,0.0707675557974959,0.0685900925421884,0.0254944656142261,0.396570495372891,0.882390336935791,0.753713330857779,0.181785129976368,0.558834586466165,0.328764533509784,0.356744493808488,0.314490972681728,28.2070668305133,0.15031258494156,0.339675636495424,0.323819878590197,0.13300715774214,0.0531847422306786,0.307166916167665
27,2011,9.36908584885463,0.0411021365294424,0.0406897002155313,0.0270798073167556,0.10708938220168,52.5456752854705,0.565028244919161,0.580645161290323,0.268817204301075,0.010752688172043,0.139784946236559,0.013102998696219,0.281942633637549,0.704954367666232,0.033223831566373,0.0389726743317904,0.0595789159325071,0.0848887561594744,0.11064655816037,0.16119157831865,0.180155293414962,0.331342392115873,0.568842710579625,0.431157289420375,0.607989034658312,0.04999673650545,0.0426212388225312,0.0239540499967365,0.27543894001697,0.914730195925275,0.788578454812487,0.161825184411515,0.638148277062304,0.36692847709738,0.374504761242789,0.258566761659832,27.3910384374783,0.207210724977222,0.382532864766367,0.285175061824808,0.0916959521020435,0.0333853963295588,0.233994060363285
28,2011,13.4819501302568,0.0721567739012234,0.0671837572715866,0.0571010248901903,0.11826381059752,55.7643671672124,0.650724149545301,0.48936170212766,0.276595744680851,0.0212765957446809,0.212765957446809,0.0487173717371737,0.447232223222322,0.504050405040504,0.122519184969569,0.114448266737232,0.119740672135486,0.113919026197407,0.124768457263826,0.13257475522625,0.119740672135486,0.152288965334745,0.467304445694992,0.532695554305008,0.413172979656064,0.0719343598965944,0.0685624367764415,0.0223670900303473,0.423963133640553,0.829221583868424,0.633138173302108,0.197408450704225,0.338019778386751,0.301975540921919,0.350776105362183,0.347248353715898,28.7581867356538,0.117216529670082,0.262470442517734,0.330931201441279,0.190181285891228,0.0992005404796757,0.334041297935103
29,2011,12.53825717322,0.0765241986172219,0.0713496448303078,0.0560425798371947,0.130502898323672,55.9893048128342,0.612177985948478,0.71969696969697,0.121212121212121,0,0.159090909090909,0.030369442705072,0.428616155291171,0.541014402003757,0.0750046528941001,0.0733296110180532,0.0971524288107203,0.117625162851293,0.132328308207705,0.154476084124325,0.157826167876419,0.192257584217383,0.503683963003606,0.496316036996394,0.450719649561952,0.0630475594493116,0.05819774718398,0.0247183979974969,0.403316645807259,0.872630424565251,0.691555265731986,0.213715359323626,0.459773936170213,0.335684987694832,0.359310910582445,0.305004101722724,28.1494060705496,0.151292090837901,0.294753328112764,0.328425998433829,0.151448707909162,0.074079874706343,0.330526663364702
30,2011,10.6987654320988,0.0578447685230498,0.0495818986719134,0.0380142675657188,0.129070108536228,55.5679992161474,0.570677057963955,0.663793103448276,0.0172413793103448,0.0129310344827586,0.306034482758621,0.0208902772354549,0.376220226474034,0.602889496290511,0.0554345458505772,0.0691570463951209,0.090938793291222,0.117621433238946,0.145175343062514,0.171095621868874,0.156066216510564,0.194510999782183,0.552037525652301,0.447962474347699,0.525755058156583,0.0521943114065096,0.0667578926791125,0.0224806959241521,0.332812041833643,0.853663308226548,0.742656774062405,0.182591687041565,0.570700769390726,0.368548876745598,0.378465897591581,0.252985225662821,27.3255596033192,0.179978492521263,0.340893537980252,0.304428585394467,0.122201583732525,0.0524978003714928,0.306076210092688
31,2011,9.61144781144781,0.0606515894353946,0.0564467975000995,0.0384933938079274,0.106368697437517,55.6678133649664,0.597300912810828,0.630434782608696,0.173913043478261,0.0181159420289855,0.177536231884058,0.0264569040296507,0.400835896222695,0.572707199747654,0.0459923494351036,0.0586691575482608,0.0821990926074193,0.112312071879726,0.13655368739436,0.173027310737479,0.169113068232364,0.222133262165288,0.569455406471981,0.430544593528019,0.55632691700852,0.0384979488797728,0.0705269801199116,0.0247317765856737,0.309916377406122,0.888577407509772,0.708017844718209,0.166048017690728,0.560725125774396,0.332799803004186,0.369079865386194,0.29812033160962,27.9574919970451,0.15627095908786,0.344024933917229,0.329979879275654,0.125774253363317,0.0439499743559396,0.265110514356538
32,2011,11.5488157134604,0.0634717395280776,0.0548724536612222,0.038672017511857,0.137276378240234,54.3024245789376,0.59202621518296,0.582278481012658,0.113924050632911,0.0949367088607595,0.208860759493671,0.0144239547197371,0.334854847544276,0.650721197735987,0.0414201183431953,0.0570583262890955,0.0707945900253593,0.105663567202029,0.112637362637363,0.16039729501268,0.17603550295858,0.275993237531699,0.505957836846929,0.494042163153071,0.484792964455845,0.0835470868449982,0.0668743129351411,0.0201539025283987,0.344631733235617,0.84171083896911,0.777647058823529,0.198061448427213,0.597304472125791,0.393083573487032,0.361575408261287,0.245341018251681,27.1059289145053,0.206000731796561,0.30918404683498,0.298755945847055,0.127515550676912,0.0585437248444932,0.292907092907093
33,2011,10.848075962019,0.0546776232616941,0.0550545799715235,0.0343577620173365,0.139924194567277,55.8970845945515,0.599497013517762,0.842105263157895,0.0263157894736842,0.0263157894736842,0.105263157894737,0.0168716493219804,0.333017975402081,0.650110375275938,0.0418502202643172,0.0563509544787078,0.0602055800293686,0.0937958883994126,0.113069016152717,0.157856093979442,0.168135095447871,0.308737151248164,0.552045490443848,0.447954509556152,0.534142879671976,0.0539347106134679,0.0487304841507649,0.0168743100457341,0.346317615518057,0.894546027742749,0.769455252918288,0.152520941994626,0.637843169488739,0.378409654488345,0.357910398412961,0.263679947098694,27.464982641759,0.199778024417314,0.358332012050103,0.287775487553512,0.10971935944189,0.0443951165371809,0.280825282462748
