income7,employed,out_of_work,homemaker,student,hlthplan,exercise,smoke,drink,genhlth_fa,genhlth_po,qlactlm,pm2.5,ozone,greenness,mental_class
0.161290323,0.652173913,0.057971014,0.043478261,NA,0.855072464,0.691176471,0.289855072,NA,0.057971014,0.028985507,NA,13.1666568141237,0.0509199300909177,0.6892663711286602,1
0.076923077,0.448275862,0.068965517,0.086206897,NA,0.827586207,0.637931034,0.379310345,NA,0.206896552,0.086206897,NA,18.5691420337155,0.0540802803857441,0.6575117118105055,1
0.151898734,0.647887324,0.042253521,0.067605634,0.030985915,0.873239437,0.709859155,0.21529745,NA,0.144067797,0.039548023,NA,19.4427232012496,0.0534520636797959,0.6624238007281293,1
0.166666667,0.470588235,0.039215686,0.117647059,0.039215686,0.803921569,0.568627451,0.3,NA,0.117647059,0.156862745,NA,15.8985238124358,0.0556226893185151,0.5980473505104521,1
0.157894737,0.639344262,0.06557377,0.016393443,0.131147541,0.803278689,0.606557377,0.25,NA,0.131147541,0.032786885,NA,18.0297168193315,0.0538334331357219,0.6705028415193829,0
0.185840708,0.620967742,0.040322581,0.072580645,0.048387097,0.869918699,0.790322581,0.209677419,NA,0.129032258,NA,NA,18.3681156463493,0.0563345922865055,0.6113118106995885,0
0.157303371,0.61025641,0.046153846,0.092307692,0.020512821,0.762886598,0.666666667,0.237113402,NA,0.102564103,0.051282051,NA,13.8776951684404,0.0490796541526599,0.6887105729657187,0
0.186813187,0.663551402,0.009345794,0.037383178,0.009345794,0.906542056,0.700934579,0.196261682,NA,0.140186916,0.009345794,NA,19.0416210440217,0.0502340879085254,0.6402497973601041,0
0.138888889,0.524390244,0.036585366,0.036585366,0.097560976,0.865853659,0.634146341,0.231707317,NA,0.146341463,0.12195122,NA,18.139522270487,0.05387037873893,0.6787362134828979,0
0.134328358,0.578313253,0.060240964,0.096385542,0.024096386,0.734939759,0.638554217,0.180722892,NA,0.084337349,0.036144578,0.12195122,5.91198746442743,0.057559637047525,0.2559134936800017,0
0.090909091,0.478991597,0.025210084,0.084033613,0.016806723,0.85,0.675,0.15,NA,0.091666667,0.066666667,0.203389831,7.87608690797004,0.0566137304138385,0.25605303103794613,1
