"state","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","hlthplan","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm"
23,2008,10.2888070013819,0.0646692376149511,0.0692113470963909,0.0369549150036955,0.143870014771049,55.5856083086053,0.607690041249263,0.873239436619718,0,0.0140845070422535,0.112676056338028,0.0182944821481263,0.361906167010918,0.619799350840956,0.0528308097432521,0.0704410796576695,0.0724160631994733,0.0994075049374589,0.126234364713627,0.168038183015142,0.176925608953259,0.233706385780118,0.557490774907749,0.442509225092251,0.545535186280308,0.043317563571851,0.0595801301005322,0.0140449438202247,0.337522176227085,0.910740631454706,0.755345819200708,0.163735776562731,0.556526892873018,0.371441689623508,0.366697275788185,0.261861034588307,27.4191000918274,0.198315353923452,0.360425594798286,0.285798729126644,0.112900842323038,0.0425594798285799,0.263399466982529
24,2008,9.86134585289515,0.0569338422391858,0.0626595744680851,0.0385672020287405,0.137916446324696,54.0548689537609,0.635376015188271,0.541284403669725,0.293577981651376,0.0458715596330275,0.119266055045872,0.0213417855256207,0.316006339144216,0.662651875330164,0.0308731307284129,0.0335262904003859,0.0535455861070912,0.0634346357935359,0.093342981186686,0.135793535938254,0.165943077665219,0.423540762180415,0.569388618574148,0.430611381425851,0.573285427454296,0.0386769523406953,0.074289337419423,0.0154285110430096,0.298319771742576,0.922084786975367,0.740232312565998,0.144761904761905,0.552038115404976,0.354810431733509,0.369712908174447,0.275476660092045,27.6814749068595,0.205103668261563,0.352259436469963,0.284635832004253,0.117597022860181,0.0404040404040404,0.247562526494277
25,2008,10.9110207768744,0.056274098296647,0.0545926361143752,0.0324042490985284,0.151656920077973,54.0670470756063,0.633885622661678,0.575,0.183333333333333,0,0.241666666666667,0.0465855208486093,0.340274722588845,0.613139756562546,0.0494750949296404,0.0525463480008935,0.0828121509939692,0.108666517757427,0.103194103194103,0.129886084431539,0.153730176457449,0.319689524234979,0.495038858204213,0.504961141795787,0.57171480232615,0.0524361041880467,0.0477935786541563,0.0169085666813273,0.31114694815032,0.95510541948678,0.728037337741261,0.167367289080066,0.570976332847596,0.388651018828992,0.366933195769925,0.244415785401083,27.1489063709053,0.218048043658335,0.3172538127954,0.280319641377966,0.134044730302587,0.0503337718657116,0.229725111078561
26,2008,10.5147435897436,0.0680199808693804,0.0712223291626564,0.0452133305030779,0.145022792324817,55.590724513785,0.634719136781974,0.603448275862069,0.275862068965517,0.0172413793103448,0.103448275862069,0.0153780888747481,0.378831265245519,0.605790645879733,0.0548865508936494,0.0501964761059703,0.0708581569273672,0.0905057675244011,0.140068449740145,0.16846241602231,0.175434148814805,0.249588033971353,0.535737077217613,0.464262922782387,0.474199382913076,0.0580912863070539,0.0720289392488563,0.0212788594531333,0.374401532077881,0.911096965839168,0.713226728793816,0.178860059549128,0.517219182491149,0.330883990202627,0.358049432197729,0.311066577599644,28.1446737920285,0.159028219817526,0.327922766815192,0.32622533418205,0.133036282622533,0.0537873965626989,0.283167055826788
27,2008,8.86412593206297,0.0582047685834502,0.0578454332552693,0.034547152194211,0.114119019836639,54.8936319104269,0.621413575927222,0.692307692307692,0.230769230769231,0,0.0769230769230769,0.0179906542056075,0.292990654205607,0.689018691588785,0.0292897874546397,0.0476931052358735,0.0572835666148263,0.0767236910316226,0.114048729911871,0.163556246759979,0.202177293934681,0.309227579056506,0.595043254617723,0.404956745382277,0.590007004436143,0.028017744571562,0.0492645342049965,0.0130749474667289,0.31963576932057,0.9437441643324,0.800326568696058,0.157403082671649,0.609939052977028,0.345832338189635,0.383807021733938,0.270360640076427,27.5052089801767,0.190153989734018,0.388707419505366,0.279514699020065,0.100326644890341,0.04129724685021,0.252567693744164
28,2008,12.7389690721649,0.0727964489537096,0.0595543032786885,0.059439676930843,0.11842603102535,55.7524977867712,0.662724871052963,0.703703703703704,0.12962962962963,0,0.166666666666667,0.0559334845049131,0.451121189216427,0.49294532627866,0.107913669064748,0.096167963588313,0.109088239612392,0.102481280281897,0.133166935839084,0.140508001761856,0.130230509469975,0.180443400381735,0.531064902331443,0.468935097668557,0.457808564231738,0.0491183879093199,0.0884130982367758,0.0117128463476071,0.392947103274559,0.855430806105715,0.645925179493639,0.195959595959596,0.298586572438163,0.319863998953838,0.343925722505558,0.336210278540604,28.4665032038708,0.136948297604035,0.262673392181589,0.317906683480454,0.178184110970996,0.104287515762926,0.313298747311148
29,2008,11.3155713439905,0.0758432442971339,0.0718621499902095,0.0516605166051661,0.134783453097689,55.2814207650273,0.623497479643273,0.752577319587629,0.11340206185567,0.0103092783505155,0.123711340206186,0.0320201824180089,0.438967591694159,0.529012225887832,0.0529463890119628,0.064466105449712,0.0883916703588835,0.103455914931325,0.148205582631812,0.178112538768276,0.163048294195835,0.201373504652193,0.545224664462167,0.454775335537833,0.507378640776699,0.0442718446601942,0.0801941747572815,0.016504854368932,0.351650485436893,0.88949310545737,0.674941815360745,0.226671850699844,0.448054474708171,0.333533533533534,0.365365365365365,0.301101101101101,28.0151011011011,0.147161741835148,0.311236391912908,0.318429237947123,0.152604976671851,0.0705676516329704,0.299902818270165
30,2008,10.1360640301318,0.0642930704722672,0.0541937389249852,0.0407087421291551,0.135245901639344,56.2397462378283,0.601519135261466,0.717948717948718,0.0128205128205128,0.0128205128205128,0.256410256410256,0.0180035128805621,0.357874707259953,0.624121779859485,0.0526755852842809,0.0653846153846154,0.0844481605351171,0.108026755852843,0.140802675585284,0.17876254180602,0.174581939799331,0.195317725752508,0.590762463343109,0.409237536656891,0.54184376374029,0.0319507547999414,0.0726952953246373,0.0126044262054815,0.34090575992965,0.867565191913273,0.740550835042485,0.17319829737267,0.547214076246334,0.376389946686976,0.376542269611577,0.247067783701447,27.1243670982483,0.188425103611604,0.325488454706927,0.308022498519834,0.123149792776791,0.0549141503848431,0.280928592418454
31,2008,9.3070051716032,0.0616917269970918,0.0620801194326947,0.0351396338080266,0.0977522539212054,56.0640668523677,0.620055367579206,0.737430167597765,0.0614525139664804,0.0111731843575419,0.189944134078212,0.0312230570267274,0.418278113068112,0.550498829905161,0.0399916101517164,0.0625043697126477,0.075578549954555,0.103474795497448,0.14514437530588,0.186184716493043,0.182619030972523,0.204502551912186,0.61959938366718,0.38040061633282,0.594404732561006,0.0234163174759675,0.0809711609563717,0.011831402514173,0.289376386492482,0.902219482120838,0.701435524613394,0.157478856719551,0.498545702085525,0.328322886017654,0.374888064474863,0.296789049507484,27.8878591531278,0.17081740845765,0.337504623351005,0.323018123535939,0.122919492047836,0.04574035260757,0.23228078848174
32,2008,9.77455621301775,0.0606571187868576,0.0575174455487418,0.0335018963337547,0.132352941176471,53.3358050847458,0.599245441207294,0.702702702702703,0.0810810810810811,0.018018018018018,0.198198198198198,0.0329762654904432,0.338164251207729,0.628859483301827,0.0374011028530328,0.0472308798849197,0.0690481898825222,0.0836729801006953,0.111004555262527,0.157995684488132,0.180771997122992,0.312874610405179,0.541920571548645,0.458079428451355,0.541745531019979,0.0502628811777077,0.0815983175604627,0.0157728706624606,0.31062039957939,0.851883021249737,0.734788082249266,0.202481076534903,0.567945728217087,0.380983895874697,0.366424001764836,0.252592102360468,27.1519744098831,0.179584120982987,0.306028145347616,0.322621298046629,0.134845620667927,0.0569208149548414,0.256853648249684
