"","state","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","hlthplan","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm","full"
"1",1,2004,12.3670886075949,NA,NA,NA,0.15055910543131,49.9627403846154,0.652173913043478,0.538461538461538,0.269230769230769,0,0.192307692307692,0.0407510986815821,0.418298042349181,0.540950858969237,0.0819746376811594,0.0711050724637681,0.0978260869565217,0.106884057971014,0.153985507246377,0.173007246376812,0.144474637681159,0.170742753623188,0.541932907348243,0.458067092651757,0.54251497005988,0.0526946107784431,0.0882235528942116,0.0291417165668663,0.287425149700599,0.854116706634692,0.696763883339992,0.235105957616953,0.399839421918908,0.350618268847228,0.335061826884723,0.270043877143997,3080.25448743518,0.171405686824189,0.295154185022026,0.325190228273929,0.123748498197837,0.0845014016820184,0.213821138211382,"alabama"
"2",2,2004,9.65196662693683,NA,NA,NA,0.122218030931724,45.0972274971515,0.535969868173258,0.523809523809524,0.0476190476190476,0.0238095238095238,0.404761904761905,0.023062381852552,0.393194706994329,0.583742911153119,0.0485355648535565,0.0577405857740586,0.0744769874476987,0.0778242677824268,0.128451882845188,0.170292887029289,0.196234309623431,0.246443514644351,0.545248012116622,0.454751987883378,0.689224952741021,0.0725897920604915,0.0669187145557656,0.0219281663516068,0.149338374291115,0.833586050037908,0.785606631499623,0.269143290371494,0.554368561617703,0.351035781544256,0.365348399246704,0.23804143126177,3063.11487758945,0.212419538053768,0.344945096554335,0.308973873532753,0.0954184021204089,0.0382430897387353,0.183987682832948,"alaska"
"3",4,2004,10.2692307692308,NA,NA,NA,0.13301866552242,51.3733563267946,0.627488760436737,0.666666666666667,0.0625,0.0416666666666667,0.229166666666667,0.0544480171489818,0.351982851018221,0.593569131832797,0.0596830113917781,0.0775136206042595,0.0990589400693413,0.118623080733036,0.154531946508172,0.179049034175334,0.157008420009906,0.154531946508172,0.583261802575107,0.416738197424893,0.497637457044674,0.0393041237113402,0.115120274914089,0.0223367697594502,0.325601374570447,0.845394030491733,0.763281919451585,0.180899118089912,0.525715515386271,0.402483408263755,0.337615071719118,0.210447441661314,3028.84007707129,0.213072457536014,0.301440550419265,0.298645452590841,0.130939582885401,0.0559019565684799,0.202281702501097,"arizona"
"4",5,2004,10.3217877094972,NA,NA,NA,0.131373278749535,51.2508386134924,0.635992578849722,0.736842105263158,0.175438596491228,0.0175438596491228,0.0701754385964912,0.034957233172183,0.41837114168836,0.546671625139457,0.0698359276398822,0.066470340765671,0.0824568784181742,0.0929743374000841,0.146403029028187,0.188472864955827,0.163230963399243,0.190155658392932,0.588847583643123,0.411152416356877,0.561266294227188,0.0342644320297952,0.0748603351955307,0.0283054003724395,0.301303538175047,0.864532936360253,0.734200743494424,0.225121133060007,0.413741598207618,0.380333951762523,0.342486085343228,0.247866419294991,2924.67087198516,0.171747211895911,0.308921933085502,0.314498141263941,0.137546468401487,0.0672862453531599,0.224118316268487,"arkansas"
"5",6,2004,9.28350168350168,NA,NA,NA,0.144553955016427,47.3759493670886,0.59469696969697,0.357142857142857,0.285714285714286,0.157142857142857,0.2,0.0650076180802438,0.279837480954799,0.655154900964957,0.0953168044077135,0.0710743801652893,0.0746556473829201,0.0757575757575758,0.102479338842975,0.130578512396694,0.16831955922865,0.281818181818182,0.508009153318078,0.491990846681922,0.58130081300813,0.0683434959349594,0.0990853658536585,0.0388719512195122,0.21239837398374,0.863062152602324,0.782070707070707,0.143759474482062,0.584451759939225,0.39949494949495,0.349494949494949,0.208333333333333,2980.30151515152,0.239262253663466,0.340323395654371,0.263516927741283,0.118494188984336,0.0384032339565437,0.160094637223975,"california"
"6",8,2004,9.32550143266476,NA,NA,NA,0.136015325670498,48.4516253125601,0.593492822966507,0.492957746478873,0.183098591549296,0.028169014084507,0.295774647887324,0.0299079754601227,0.28316717791411,0.686924846625767,0.0420600858369099,0.0472103004291846,0.0650214592274678,0.0809012875536481,0.125107296137339,0.17381974248927,0.180472103004292,0.285407725321888,0.547884615384615,0.452115384615385,0.624928092042186,0.0508149568552253,0.086673058485139,0.0274209012464046,0.210162991371045,0.868315123634273,0.815658499234303,0.187188339087073,0.616951758600807,0.448803827751196,0.346602870813397,0.16555023923445,2886.78124401914,0.24741081703107,0.343306482546989,0.28078250863061,0.093210586881473,0.0352896049098581,0.180704143162809,"colorado"
"7",9,2004,9.66159496327387,NA,NA,NA,0.152246256239601,51.1239057239057,0.613659022931206,0.727272727272727,0.181818181818182,0.0454545454545455,0.0454545454545455,0.0228181212524983,0.300299800133244,0.676882078614257,0.0295152462861611,0.037529319781079,0.0547302580140735,0.0713448006254887,0.106137607505864,0.150312744331509,0.188037529319781,0.362392494136044,0.557762938230384,0.442237061769616,0.607696151924038,0.0446443444944195,0.0794602698650675,0.0229885057471264,0.245210727969349,0.928988164694116,0.808985024958403,0.1669449081803,0.65143144148669,0.412927883017614,0.339481555333998,0.188102359587903,3080.29461615155,0.257171447631754,0.353735823882588,0.267011340893929,0.0893929286190794,0.0326884589726484,0.166209262435678,"connecticut"
"8",10,2004,10.5728937728938,0.0493081761006289,0.0514112903225806,0.031682172491828,0.141409147095179,49.5908977866202,0.615023474178404,0.657142857142857,0.257142857142857,0,0.0857142857142857,0.0138613861386139,0.40519801980198,0.580940594059406,0.0684059815462933,0.0559974546611518,0.0521794463888005,0.051543111676742,0.122494432071269,0.183900731784919,0.211263124403436,0.254215717467388,0.549257425742574,0.450742574257426,0.611674499134306,0.0326490230027208,0.0593618600049468,0.0264654959188721,0.269849121939154,0.91980198019802,0.768166089965398,0.223954466716159,0.550310559006211,0.365455893254262,0.362490733876946,0.226834692364715,3026.66666666667,0.197280593325093,0.353770086526576,0.299629171817058,0.110012360939431,0.0393077873918418,0.171364430032427,"delaware"
"9",11,2004,8.66933066933067,NA,NA,NA,0.146505376344086,47.0157157499146,0.609936220208124,0.266666666666667,0.533333333333333,0.0666666666666667,0.133333333333333,0.0151413189771198,0.230484522207268,0.754374158815612,0.0606403013182674,0.0414312617702448,0.0583804143126177,0.0651600753295669,0.0979284369114878,0.16271186440678,0.152165725047081,0.361581920903955,0.299423533401153,0.700576466598847,0.64588948787062,0.0609838274932615,0.0320080862533693,0.0515498652291105,0.209568733153639,0.917002688172043,0.805443548387097,0.186109238031018,0.651556156968877,0.459885867740853,0.313192346424975,0.188318227593152,2909.30278616986,0.310158623017212,0.348633142085724,0.241309483631455,0.0701991225109686,0.0296996287546406,0.141311933007676,"district of columbia"
"10",12,2004,11.5424671385238,NA,NA,NA,0.130786860198625,52.8373745173745,0.623931623931624,0.666666666666667,0.121212121212121,0,0.212121212121212,0.0381433823529412,0.374540441176471,0.587316176470588,0.0581248875292424,0.0777397876552096,0.0941155299622098,0.108871693359726,0.150080978945474,0.167356487313299,0.156379341371243,0.187331293863595,0.520380018387987,0.479619981612013,0.510862913096695,0.0436046511627907,0.0761933904528764,0.0180538555691554,0.351285189718482,0.838620689655172,0.748663101604278,0.201349486275111,0.539524174980814,0.387362637362637,0.350732600732601,0.213827838827839,3040.30402930403,0.205033763044813,0.308624923265807,0.30049109883364,0.125537139349294,0.0603130755064457,0.215578284815106,"florida"
