fips,state,county,year,menthlth,heartattack,ACheartdis,stroke,asthma,age,sex,white,black,asian,race_other,educ1,educ2,educ3,income1,income2,income3,income4,income5,income6,income7,income8,married,unmarried,employed,out_of_work,homemaker,student,employ_other,hlthplan,exercise,smoke,drink,bmi_cat1,bmi_cat2,bmi_cat3,bmi_cts,genhlth_ex,genhlth_vg,genhlth_go,genhlth_fa,genhlth_po,qlactlm
1001,1,1,2007,12.73684211,0.017857143,0.017857143,0.089285714,0.160714286,53.30909091,0.732142857,NA,NA,NA,1,0.053571429,0.357142857,0.589285714,0.068181818,0.022727273,0.022727273,0.090909091,0.113636364,0.113636364,0.409090909,0.159090909,0.535714286,0.464285714,0.410714286,0.017857143,0.160714286,0.017857143,0.392857143,0.910714286,0.690909091,0.25,0.303571429,0.327272727,0.509090909,0.163636364,27.51581818,0.178571429,0.285714286,0.285714286,0.125,0.125,0.285714286
1003,1,3,2007,12,0.062240664,0.109704641,0.045454545,0.140495868,57.83682008,0.73553719,1,NA,NA,NA,NA,0.318181818,0.681818182,0.010309278,0.072164948,0.072164948,0.072164948,0.134020619,0.190721649,0.237113402,0.211340206,0.601659751,0.398340249,0.433884298,0.033057851,0.152892562,0.004132231,0.376033058,0.871369295,0.739669421,0.215767635,0.473029046,0.448275862,0.336206897,0.215517241,26.39508621,0.211618257,0.34439834,0.286307054,0.095435685,0.062240664,0.255230126
1005,1,5,2007,10.5,0.049180328,0.016393443,0.06557377,0.180327869,54.55,0.721311475,NA,NA,NA,NA,0.033333333,0.583333333,0.383333333,0.022727273,0.045454545,0.227272727,0.068181818,0.113636364,0.25,0.159090909,0.113636364,0.475409836,0.524590164,0.457627119,0.033898305,0.169491525,0.016949153,0.322033898,0.85,0.557377049,0.163934426,0.216666667,0.186440678,0.322033898,0.491525424,29.53322034,0.15,0.15,0.35,0.266666667,0.083333333,0.322033898
1007,1,7,2007,14.7826087,0.097222222,0.041666667,0.055555556,0.152777778,52.65753425,0.671232877,NA,NA,NA,NA,0.028169014,0.61971831,0.352112676,0.048387097,0.112903226,0.064516129,0.161290323,0.064516129,0.177419355,0.209677419,0.161290323,0.671232877,0.328767123,0.493150685,0.068493151,0.082191781,NA,0.356164384,0.876712329,0.520547945,0.219178082,0.25,0.405797101,0.31884058,0.275362319,27.82028986,0.150684932,0.260273973,0.315068493,0.109589041,0.164383562,0.301369863
1009,1,9,2007,14.78571429,0.058823529,0.156862745,0.156862745,0.18,54.36,0.647058824,NA,NA,NA,NA,0.039215686,0.470588235,0.490196078,0.051282051,0.076923077,0.102564103,0.051282051,0.102564103,0.282051282,0.179487179,0.153846154,0.58,0.42,0.411764706,0.019607843,0.215686275,NA,0.352941176,0.921568627,0.588235294,0.294117647,0.274509804,0.32,0.32,0.36,28.4022,0.098039216,0.254901961,0.235294118,0.196078431,0.215686275,0.352941176
1013,1,13,2007,12,0.063829787,0.106382979,0.063829787,0.191489362,55.76595745,0.808510638,NA,NA,NA,NA,0.043478261,0.565217391,0.391304348,0.105263158,0.105263158,0.184210526,0.105263158,0.131578947,0.157894737,0.105263158,0.105263158,0.531914894,0.468085106,0.531914894,0.042553191,0.127659574,NA,0.29787234,0.872340426,0.553191489,0.14893617,0.361702128,0.261904762,0.357142857,0.380952381,29.17690476,0.191489362,0.106382979,0.29787234,0.234042553,0.170212766,0.355555556
1015,1,15,2007,14.60465116,0.08583691,0.096491228,0.038461538,0.123404255,54.4248927,0.617021277,NA,0.5,NA,0.5,0.059574468,0.45106383,0.489361702,0.064171123,0.122994652,0.07486631,0.112299465,0.106951872,0.171122995,0.165775401,0.181818182,0.547008547,0.452991453,0.45106383,0.012765957,0.089361702,0.012765957,0.434042553,0.918803419,0.676595745,0.225531915,0.323404255,0.282511211,0.3632287,0.35426009,28.41112108,0.142241379,0.25862069,0.301724138,0.150862069,0.146551724,0.357758621
1017,1,17,2007,11.5,0.118644068,0.068965517,0.06779661,0.169491525,56.69491525,0.694915254,NA,NA,NA,NA,0.118644068,0.542372881,0.338983051,0.073170732,0.146341463,0.12195122,0.12195122,0.243902439,0.097560976,0.073170732,0.12195122,0.338983051,0.661016949,0.406779661,0.016949153,0.084745763,0.016949153,0.474576271,0.844827586,0.593220339,0.24137931,0.220338983,0.283018868,0.283018868,0.433962264,29.52226415,0.06779661,0.169491525,0.322033898,0.203389831,0.237288136,0.310344828
1019,1,19,2007,14.70588235,0.0625,0.041666667,0.020833333,0.229166667,52.66666667,0.708333333,1,NA,NA,NA,0.0625,0.541666667,0.395833333,0.125,0.1,0.125,0.1,0.15,0.125,0.175,0.1,0.4375,0.5625,0.395833333,0.0625,0.104166667,0.020833333,0.416666667,0.854166667,0.583333333,0.208333333,0.382978723,0.326086957,0.304347826,0.369565217,28.08521739,0.041666667,0.1875,0.395833333,0.1875,0.1875,0.3125
1021,1,21,2007,15.44444444,0.066666667,0.068965517,0.033333333,0.2,54.83333333,0.6,NA,NA,NA,NA,0.133333333,0.566666667,0.3,0.076923077,0.115384615,0.192307692,0.115384615,0.115384615,0.192307692,0.153846154,0.038461538,0.466666667,0.533333333,0.433333333,0.033333333,0.1,NA,0.433333333,0.866666667,0.633333333,0.1,0.24137931,0.233333333,0.3,0.466666667,30.05933333,0.166666667,0.333333333,0.3,0.066666667,0.133333333,0.344827586
1023,1,23,2007,10.89189189,0.049586777,0.06557377,0.024590164,0.130081301,56.06557377,0.707317073,NA,NA,1,NA,0.081300813,0.601626016,0.317073171,0.111111111,0.161616162,0.080808081,0.141414141,0.121212121,0.101010101,0.141414141,0.141414141,0.487804878,0.512195122,0.284552846,0.024390244,0.154471545,0.016260163,0.520325203,0.853658537,0.642276423,0.178861789,0.20661157,0.267241379,0.387931034,0.344827586,28.42913793,0.12195122,0.154471545,0.365853659,0.219512195,0.138211382,0.344262295
1025,1,25,2007,10.7,0.104166667,0.0625,0.0625,0.104166667,52.69565217,0.6875,NA,1,NA,NA,0.020833333,0.5,0.479166667,0.05,0.125,0.075,0.15,0.1,0.175,0.15,0.175,0.5625,0.4375,0.541666667,0.041666667,0.0625,0.020833333,0.333333333,0.875,0.666666667,0.041666667,0.291666667,0.204545455,0.340909091,0.454545455,30.26159091,0.166666667,0.354166667,0.3125,0.0625,0.104166667,0.191489362
1027,1,27,2007,10.91666667,0.058823529,0.088235294,0.029411765,0.176470588,53.81818182,0.764705882,NA,NA,NA,NA,0.058823529,0.588235294,0.352941176,0.064516129,0.096774194,0.129032258,NA,0.129032258,0.290322581,0.064516129,0.225806452,0.676470588,0.323529412,0.5,NA,0.088235294,0.029411765,0.382352941,0.970588235,0.529411765,0.235294118,0.117647059,0.272727273,0.272727273,0.454545455,28.86424242,0.151515152,0.181818182,0.333333333,0.121212121,0.212121212,0.205882353
1029,1,29,2007,20.5,0.052631579,0.055555556,0.052631579,0.105263158,55.42105263,0.736842105,NA,NA,NA,NA,0.157894737,0.684210526,0.157894737,0.285714286,0.071428571,0.285714286,0.071428571,NA,NA,0.142857143,0.142857143,0.421052632,0.578947368,0.368421053,0.105263158,0.105263158,NA,0.421052632,0.684210526,0.631578947,0.157894737,0.105263158,0.210526316,0.473684211,0.315789474,27.95157895,0.105263158,0.263157895,0.210526316,0.263157895,0.157894737,0.333333333
1031,1,31,2007,13.30769231,0.106382979,0.106382979,0.053191489,0.204301075,52.91397849,0.563829787,NA,NA,NA,1,0.074468085,0.329787234,0.595744681,0.024691358,0.049382716,0.086419753,0.12345679,0.061728395,0.197530864,0.222222222,0.234567901,0.70212766,0.29787234,0.510638298,0.031914894,0.095744681,0.010638298,0.35106383,0.914893617,0.670212766,0.244680851,0.329787234,0.325842697,0.325842697,0.348314607,28.33146067,0.127659574,0.287234043,0.319148936,0.180851064,0.085106383,0.279569892
1033,1,33,2007,15.39285714,0.063157895,0.097826087,0.042105263,0.14893617,58.07368421,0.673684211,NA,NA,NA,1,0.042105263,0.568421053,0.389473684,0.067567568,0.135135135,0.121621622,0.121621622,0.189189189,0.081081081,0.148648649,0.135135135,0.568421053,0.431578947,0.347368421,0.052631579,0.115789474,0.010526316,0.473684211,0.884210526,0.673684211,0.2,0.273684211,0.301075269,0.268817204,0.430107527,29.64709677,0.084210526,0.178947368,0.4,0.242105263,0.094736842,0.311827957
1035,1,35,2007,18.28571429,NA,0.047619048,0.15,0.095238095,59.14285714,0.714285714,NA,1,NA,NA,0.047619048,0.714285714,0.238095238,0.222222222,0.222222222,0.055555556,0.166666667,0.166666667,0.166666667,NA,NA,0.380952381,0.619047619,0.285714286,NA,0.095238095,0.047619048,0.571428571,0.761904762,0.476190476,0.285714286,0.095238095,0.2,0.5,0.3,29.1575,0.095238095,0.238095238,0.238095238,0.238095238,0.19047619,0.523809524
1039,1,39,2007,16.69230769,0.147540984,0.114754098,0.081967213,0.147540984,55.01639344,0.62295082,1,NA,NA,NA,0.049180328,0.442622951,0.508196721,0.058823529,0.137254902,0.098039216,0.058823529,0.176470588,0.196078431,0.137254902,0.137254902,0.466666667,0.533333333,0.508196721,0.016393443,0.098360656,0.016393443,0.360655738,0.852459016,0.573770492,0.262295082,0.278688525,0.327586207,0.344827586,0.327586207,28.71068966,0.1,0.216666667,0.416666667,0.15,0.116666667,0.229508197
1041,1,41,2007,15.9,0.057142857,NA,NA,0.114285714,52.28571429,0.657142857,NA,NA,NA,NA,0.085714286,0.4,0.514285714,0.03030303,0.151515152,0.060606061,0.181818182,0.151515152,0.181818182,0.090909091,0.151515152,0.514285714,0.485714286,0.457142857,0.028571429,0.114285714,0.028571429,0.371428571,0.828571429,0.771428571,0.228571429,0.257142857,0.375,0.3125,0.3125,27.43625,0.142857143,0.342857143,0.257142857,0.114285714,0.142857143,0.171428571
1043,1,43,2007,13.47826087,0.05,0.113924051,0.012658228,0.151898734,56.6,0.6625,NA,NA,NA,NA,0.0375,0.5375,0.425,NA,0.076923077,0.153846154,0.138461538,0.153846154,0.169230769,0.092307692,0.215384615,0.696202532,0.303797468,0.4875,0.0125,0.1,NA,0.4,0.886075949,0.6125,0.217948718,0.175,0.269230769,0.461538462,0.269230769,27.68115385,0.153846154,0.217948718,0.346153846,0.166666667,0.115384615,0.303797468
1045,1,45,2007,12.96,0.085365854,0.111111111,0.06097561,0.134146341,52,0.646341463,NA,NA,NA,NA,0.06097561,0.414634146,0.524390244,0.097222222,0.069444444,0.083333333,0.055555556,0.194444444,0.194444444,0.083333333,0.222222222,0.62195122,0.37804878,0.451219512,0.036585366,0.085365854,0.048780488,0.37804878,0.865853659,0.719512195,0.209876543,0.292682927,0.291139241,0.405063291,0.303797468,28.53683544,0.134146341,0.256097561,0.280487805,0.182926829,0.146341463,0.365853659
1047,1,47,2007,12.20512821,0.05,0.050228311,0.036363636,0.159090909,53.98165138,0.7,1,NA,NA,NA,0.05,0.559090909,0.390909091,0.149171271,0.099447514,0.143646409,0.127071823,0.110497238,0.132596685,0.154696133,0.082872928,0.372727273,0.627272727,0.452054795,0.063926941,0.063926941,0.01369863,0.406392694,0.840909091,0.613636364,0.178082192,0.315068493,0.222748815,0.331753555,0.44549763,30.27137441,0.127272727,0.168181818,0.4,0.181818182,0.122727273,0.277777778
1049,1,49,2007,14.66666667,0.061728395,0.05,0.049382716,0.098765432,56.58024691,0.641975309,NA,NA,NA,NA,0.074074074,0.518518519,0.407407407,0.096774194,0.177419355,0.129032258,0.080645161,0.096774194,0.112903226,0.14516129,0.161290323,0.580246914,0.419753086,0.407407407,0.049382716,0.111111111,0.012345679,0.419753086,0.8875,0.617283951,0.175,0.222222222,0.346153846,0.371794872,0.282051282,27.92397436,0.111111111,0.283950617,0.308641975,0.209876543,0.086419753,0.283950617
1051,1,51,2007,9.6,0.055555556,0.037037037,0.037037037,0.111111111,52.37037037,0.592592593,NA,NA,NA,NA,NA,0.407407407,0.592592593,NA,0.044444444,0.066666667,0.066666667,0.088888889,0.333333333,0.088888889,0.311111111,0.62962963,0.37037037,0.528301887,0.037735849,0.094339623,NA,0.339622642,0.944444444,0.685185185,0.166666667,0.462962963,0.365384615,0.442307692,0.192307692,27.02076923,0.188679245,0.471698113,0.245283019,0.056603774,0.037735849,0.148148148
1053,1,53,2007,20.35714286,0.104166667,0.142857143,0.020408163,0.102040816,55.51020408,0.775510204,1,NA,NA,NA,NA,0.632653061,0.367346939,0.076923077,0.153846154,0.128205128,0.025641026,0.076923077,0.153846154,0.179487179,0.205128205,0.612244898,0.387755102,0.346938776,0.040816327,0.183673469,NA,0.428571429,0.816326531,0.489795918,0.244897959,0.183673469,0.244444444,0.377777778,0.377777778,28.82755556,0.142857143,0.265306122,0.326530612,0.142857143,0.12244898,0.244897959
1055,1,55,2007,11.5,0.083916084,0.042857143,0.020979021,0.125874126,54.4084507,0.552447552,NA,NA,NA,NA,0.041958042,0.517482517,0.440559441,0.087719298,0.078947368,0.105263158,0.105263158,0.175438596,0.166666667,0.166666667,0.114035088,0.612676056,0.387323944,0.34965035,0.048951049,0.153846154,0.006993007,0.440559441,0.909090909,0.608391608,0.244755245,0.27972028,0.297101449,0.405797101,0.297101449,27.81123188,0.098591549,0.309859155,0.330985915,0.154929577,0.105633803,0.330985915
1057,1,57,2007,20.3125,0.125,0.129032258,0.0625,0.21875,54.375,0.6875,NA,NA,NA,NA,0.03125,0.5625,0.40625,0.071428571,0.107142857,0.178571429,0.107142857,0.142857143,0.142857143,0.178571429,0.071428571,0.5625,0.4375,0.375,0.03125,0.0625,0.03125,0.5,0.96875,0.59375,0.15625,0.21875,0.233333333,0.466666667,0.3,27.82966667,0.15625,0.15625,0.3125,0.28125,0.09375,0.375
1059,1,59,2007,7.25,0.021276596,0.042553191,0.021276596,0.042553191,56.39130435,0.723404255,NA,NA,NA,NA,0.085106383,0.659574468,0.255319149,0.083333333,0.111111111,0.083333333,0.166666667,0.083333333,0.222222222,0.138888889,0.111111111,0.468085106,0.531914894,0.347826087,0.02173913,0.173913043,0.043478261,0.413043478,0.913043478,0.553191489,0.212765957,0.14893617,0.234042553,0.446808511,0.319148936,28.69702128,0.042553191,0.340425532,0.255319149,0.191489362,0.170212766,0.347826087
