COUNTY,PM25_2000,PM25_2001,PM25_2002,PM25_2003,PM25_2004,PM25_2005,PM25_2006,PM25_2007,PM25_2008,PM25_2009,PM25_2010,PM25_2011,PM25_2012,Ozone_2000,Ozone_2001,Ozone_2002,Ozone_2003,Ozone_2004,Ozone_2005,Ozone_2006,Ozone_2007,Ozone_2008,Ozone_2009,Ozone_2010,Ozone_2011,Ozone_2012
28077,14.5712995871966,12.2138479049835,11.5399568336562,12.4447505652829,11.4404928959103,14.1104752395141,13.0849497368665,12.3847157724177,11.5127985975497,9.22807463890632,12.5271095887993,11.1733009136802,10.2540775159831,0.0522139598294095,0.044295334090183,0.0428828219702283,0.0428245299200015,0.0428136952941674,0.0490947130581529,0.0505114110362926,0.0468568388831678,0.040667190759426,0.0403704995729282,0.041383814720352,0.0436867764635929,0.0417759499783703
28079,13.8731162673477,11.7949432010063,11.2751879623961,11.8342808028717,11.3148406862673,13.0144713657915,12.3989128134573,12.1745853297422,11.4438330219506,9.79470222190022,12.6358724612233,11.1601181317637,10.4353066442758,0.0527399167778387,0.0457783317122044,0.0444337967616091,0.0434710565457282,0.0420283524779454,0.0478811697684957,0.0503904588578241,0.0480348301191256,0.0415284120666208,0.0393066157686508,0.0419470995628204,0.043195250582917,0.0421672064171252
28081,16.640274099489,13.9793122369028,13.3470333263595,13.788174903524,12.6611795028576,14.9491924318166,14.0022414519056,13.5969159894069,12.0824527928355,10.2982591243861,12.3146341562115,10.481285258826,9.74605417086057,0.0501523818960178,0.0446096877852971,0.0465961925094456,0.0440333917115612,0.0409539415478466,0.0466598835125958,0.0459808368431265,0.0462753772095406,0.0414843275650596,0.0387589100321532,0.0424635222910492,0.0433100276075993,0.0447362300808548
28083,14.2623694939168,13.4867835149155,12.0779419724468,12.1587667437316,11.2930041798699,14.681856676751,12.714540780762,12.5051105886504,11.6356431119894,10.0564388155569,12.5365387809446,10.4523231500758,9.87335456848995,0.0541026241680554,0.0489923699042144,0.0476168089838849,0.0480523740594119,0.0448192288005742,0.0508908669085468,0.0519031953917488,0.0484416244403606,0.0435970971102043,0.0415927648561913,0.0438320013449242,0.0468855310984589,0.0458126880479787
28085,13.869094289103,11.8938360201484,11.2588322994217,12.3929403514323,11.2864217788233,13.4630263140575,12.7624068014121,11.7656905409008,11.0840476149022,9.29029858562439,11.8552739109483,11.0711251001586,10.2302685866412,0.052010542199811,0.0448441012350176,0.0432968053861526,0.0435171427208544,0.043200449826232,0.0493075440970126,0.0505310784969594,0.0459022186764062,0.0399666611919489,0.0396485588223176,0.0407458289917939,0.0430521552203465,0.0412161803243595
28087,18.0755865427026,15.0276538793854,13.7792289670046,14.5841880171284,13.7937202341961,16.4123351196662,15.5488708686568,15.043017513451,12.8058898507923,10.7238536486247,12.4049779981868,10.9664862308571,10.1132332379102,0.0537679832750932,0.0466663257512073,0.0472987126715891,0.0446137474102094,0.0437267407187403,0.0481116096016678,0.0492931087838126,0.0482292546835307,0.0426710641798296,0.0388008600114803,0.0428849365020383,0.044705303041827,0.0449467167949318
28089,14.4254734981968,12.6784365068495,11.9712352503427,12.2803429246355,11.7222504062205,13.627782559347,12.8040270891878,12.3226393481828,11.2559930967196,10.1458878670268,11.4716352426404,12.0689651124834,11.0144332976839,0.0545838996078802,0.0468706735568916,0.0433817452294582,0.0451225832374044,0.0419423083014966,0.0483281753948961,0.051110604889611,0.0474000521126058,0.0414621273086068,0.038970357153089,0.042776188134687,0.0440583064644821,0.0422104835949323
28091,14.0119822422572,11.8265455257117,10.9009071847733,11.7145633764187,11.0912598537329,13.7916964847615,13.0873564169102,11.8567442139969,10.9520967147148,9.10483562891739,12.0770322448578,10.6988186162326,10.0088389941571,0.0530848026269549,0.045335977170834,0.0442877068686126,0.0436892632582352,0.0437097944596666,0.0496081856762695,0.050539146373365,0.0477067010441112,0.0410851514801139,0.0402790457942108,0.041868139637016,0.0445088360175988,0.0423769547694475
28093,15.3209753649965,13.2500242267073,12.7136134955311,12.9275552800464,11.6259969882247,14.7810009473378,12.82377115226,12.8181346172753,11.4922078144596,9.46451423400796,12.2277970377201,9.69970001551924,9.73013559285968,0.0568257893864503,0.0520198316213829,0.0503873494817652,0.0508699117747675,0.043080910681982,0.0510184140071965,0.0527156941003889,0.0524637988595759,0.0463104170304502,0.0414865995085108,0.0455628536827388,0.0481760271675689,0.0480232161248274
28095,17.3315139771687,14.1405545461479,13.471795948524,14.2634373143427,13.046257429981,15.8297126045154,14.7944893427471,14.2528902107895,12.6066655323265,10.4268118819616,12.7751765082856,10.4564690322145,9.75487373886499,0.0509875384724928,0.0452043171258024,0.0466663053113906,0.0438563243933552,0.0419521963115541,0.0467906918722384,0.0469970673167511,0.0473903848326721,0.0425487667965241,0.0390634562372444,0.0427549563147962,0.0437226188413123,0.0445305905256003
28097,15.3439250745441,12.6409434146524,12.7154908826643,13.489012917185,11.674710848637,14.2745623267319,13.384745120581,12.9797811012647,12.4969744048663,10.0066387101796,13.917939536494,10.6351171233563,8.65508069027684,0.0530208413601701,0.0474213457665854,0.0459085085288265,0.0452091455600496,0.0432725108070133,0.0489033964833396,0.0513146979226978,0.0477303584003882,0.0420061200251574,0.0387408278347321,0.0423137051094974,0.0455657097248699,0.0427522626312978
28099,15.2751977612374,12.9888255519541,12.1985301648729,12.8853675779616,12.1391026627658,13.8706649656367,13.6412147076828,13.4068231106675,12.1724912728718,10.0225728093374,12.4295262006944,11.3239424051915,10.3444598057382,0.0526032253614964,0.0451457270548499,0.0448477065131266,0.0436244572211317,0.0424310744120665,0.0480185181436257,0.0503653454450887,0.0482780141276965,0.0414977528501672,0.0395614584126599,0.0421367100409145,0.0436258134887652,0.0424285040460055
28101,14.8483864879687,12.1918001307957,12.0096033745437,12.4655720125799,11.7219220765338,13.6035493303608,13.3393507276948,13.1108406140976,11.9724286135669,9.84257556517463,12.2910974820935,10.8888430934818,10.2758179036055,0.0528639964644653,0.0449427346050146,0.0444723605243896,0.0443487758973961,0.0425198077365781,0.0487000603930236,0.0509550356699104,0.0487826462185704,0.0415562975757764,0.0395665638704019,0.0420239550092785,0.0435738155069294,0.0421595175724357
