fips,state,county,year,menthlth,heartattack,ACheartdis,stroke,asthma,age,sex,white,black,asian,race_other,educ1,educ2,educ3,income1,income2,income3,income4,income5,income6,income7,income8,married,unmarried,employed,out_of_work,homemaker,student,employ_other,hlthplan,exercise,smoke,drink,bmi_cat1,bmi_cat2,bmi_cat3,bmi_cts,genhlth_ex,genhlth_vg,genhlth_go,genhlth_fa,genhlth_po,qlactlm
1003,1,3,2002,NA,NA,NA,NA,0.154545455,53.88073394,0.581818182,1,NA,NA,NA,0.009090909,0.345454545,0.645454545,0.038461538,0.048076923,0.192307692,0.057692308,0.153846154,0.182692308,0.153846154,0.173076923,0.545454545,0.454545455,0.518181818,0.045454545,0.045454545,0.009090909,0.381818182,0.890909091,0.709090909,0.254545455,0.554545455,0.39047619,0.314285714,0.295238095,27.12714286,0.163636364,0.281818182,0.354545455,0.163636364,0.036363636,0.165137615
1015,1,15,2002,NA,NA,NA,NA,0.119047619,50.42352941,0.694117647,0.5,NA,NA,0.5,0.058823529,0.482352941,0.458823529,0.082191781,0.123287671,0.191780822,0.095890411,0.082191781,0.150684932,0.164383562,0.109589041,0.505882353,0.494117647,0.447058824,0.035294118,0.105882353,0.035294118,0.376470588,0.917647059,0.694117647,0.211764706,0.273809524,0.407407407,0.37037037,0.222222222,26.58592593,0.129411765,0.305882353,0.258823529,0.2,0.105882353,0.226190476
1055,1,55,2002,NA,NA,NA,NA,0.136363636,52.71590909,0.704545455,NA,NA,NA,NA,0.068181818,0.420454545,0.511363636,0.108108108,0.108108108,0.108108108,0.081081081,0.094594595,0.22972973,0.148648649,0.121621622,0.556818182,0.443181818,0.431818182,0.068181818,0.227272727,0.011363636,0.261363636,0.852272727,0.704545455,0.238636364,0.318181818,0.505882353,0.352941176,0.141176471,26.08964706,0.181818182,0.261363636,0.329545455,0.159090909,0.068181818,0.16091954
1069,1,69,2002,NA,NA,NA,NA,0.178571429,52.82142857,0.642857143,NA,NA,NA,NA,0.089285714,0.446428571,0.464285714,0.078431373,0.117647059,0.078431373,0.137254902,0.176470588,0.196078431,0.098039216,0.117647059,0.625,0.375,0.5,0.035714286,0.107142857,NA,0.357142857,0.821428571,0.571428571,0.125,0.357142857,0.303571429,0.357142857,0.339285714,28.36089286,0.160714286,0.232142857,0.357142857,0.196428571,0.053571429,0.196428571
1073,1,73,2002,NA,NA,NA,NA,0.097613883,49.63616558,0.66017316,0.666666667,NA,NA,0.333333333,0.036796537,0.398268398,0.564935065,0.092682927,0.056097561,0.075609756,0.109756098,0.146341463,0.17804878,0.158536585,0.182926829,0.480434783,0.519565217,0.593073593,0.062770563,0.069264069,0.010822511,0.264069264,0.902597403,0.699134199,0.218614719,0.431670282,0.402684564,0.36689038,0.230425056,26.64957494,0.182212581,0.297180043,0.342733189,0.119305857,0.05856833,0.154347826
1077,1,77,2002,NA,NA,NA,NA,0.156862745,50.68627451,0.607843137,NA,NA,NA,NA,0.098039216,0.450980392,0.450980392,0.136363636,0.113636364,0.090909091,0.090909091,0.181818182,0.113636364,0.113636364,0.159090909,0.607843137,0.392156863,0.470588235,0.078431373,0.137254902,0.039215686,0.274509804,0.862745098,0.784313725,0.1,0.294117647,0.411764706,0.333333333,0.254901961,26.98941176,0.176470588,0.215686275,0.37254902,0.196078431,0.039215686,0.215686275
1081,1,81,2002,NA,NA,NA,NA,0.050847458,44.20338983,0.762711864,NA,NA,NA,NA,0.033898305,0.423728814,0.542372881,0.058823529,0.098039216,0.117647059,0.098039216,0.137254902,0.215686275,0.235294118,0.039215686,0.440677966,0.559322034,0.491525424,0.033898305,0.033898305,0.101694915,0.338983051,0.86440678,0.813559322,0.169491525,0.431034483,0.446428571,0.357142857,0.196428571,26.48571429,0.152542373,0.406779661,0.288135593,0.152542373,NA,0.220338983
1089,1,89,2002,NA,NA,NA,NA,0.117241379,46.60839161,0.655172414,1,NA,NA,NA,0.027586207,0.289655172,0.682758621,0.061538462,0.030769231,0.123076923,0.061538462,0.161538462,0.184615385,0.130769231,0.246153846,0.475862069,0.524137931,0.64137931,0.04137931,0.075862069,0.034482759,0.206896552,0.882758621,0.806896552,0.248275862,0.420689655,0.424460432,0.395683453,0.179856115,26.40266187,0.194444444,0.340277778,0.291666667,0.111111111,0.0625,0.172413793
1095,1,95,2002,NA,NA,NA,NA,0.127272727,49.49090909,0.618181818,NA,NA,NA,NA,0.054545455,0.527272727,0.418181818,0.020833333,0.083333333,0.083333333,0.145833333,0.1875,0.1875,0.208333333,0.083333333,0.685185185,0.314814815,0.509090909,0.054545455,0.181818182,0.018181818,0.236363636,0.8,0.690909091,0.272727273,0.388888889,0.388888889,0.444444444,0.166666667,26.63703704,0.2,0.272727273,0.290909091,0.109090909,0.127272727,0.181818182
1097,1,97,2002,NA,NA,NA,NA,0.136929461,48.70539419,0.65560166,0.5,NA,NA,0.5,0.037344398,0.506224066,0.456431535,0.096774194,0.064516129,0.101382488,0.096774194,0.207373272,0.175115207,0.129032258,0.129032258,0.522821577,0.477178423,0.572614108,0.037344398,0.112033195,0.029045643,0.248962656,0.850622407,0.709543568,0.233333333,0.46473029,0.405982906,0.363247863,0.230769231,26.72717949,0.195020747,0.323651452,0.244813278,0.149377593,0.087136929,0.165975104
