fips,state,county,year,menthlth,heartattack,ACheartdis,stroke,asthma,age,sex,white,black,asian,race_other,educ1,educ2,educ3,income1,income2,income3,income4,income5,income6,income7,income8,married,unmarried,employed,out_of_work,homemaker,student,employ_other,hlthplan,exercise,smoke,drink,bmi_cat1,bmi_cat2,bmi_cat3,bmi_cts,genhlth_ex,genhlth_vg,genhlth_go,genhlth_fa,genhlth_po,qlactlm
1003,1,3,2004,12.69565217,NA,NA,NA,0.142857143,54.656,0.587301587,0.333333333,NA,NA,0.666666667,0.04,0.36,0.6,0.045454545,0.054545455,0.090909091,0.118181818,0.163636364,0.181818182,0.154545455,0.190909091,0.603174603,0.396825397,0.53968254,0.015873016,0.126984127,0.023809524,0.293650794,0.912698413,0.714285714,0.19047619,0.488,0.391666667,0.341666667,0.266666667,27.58241667,0.23015873,0.253968254,0.30952381,0.134920635,0.071428571,0.256
1015,1,15,2004,14.78125,NA,NA,NA,0.227722772,51.54,0.663366337,NA,1,NA,NA,0.069306931,0.564356436,0.366336634,0.102272727,0.079545455,0.090909091,0.170454545,0.113636364,0.193181818,0.136363636,0.113636364,0.514851485,0.485148515,0.52,0.07,0.07,0.02,0.32,0.861386139,0.66,0.326732673,0.313131313,0.365591398,0.35483871,0.279569892,28.27989247,0.1,0.35,0.3,0.08,0.17,0.252525253
1043,1,43,2004,16.42857143,NA,NA,NA,0.211538462,51.32692308,0.673076923,NA,NA,NA,NA,0.115384615,0.519230769,0.365384615,0.066666667,0.177777778,0.044444444,0.2,0.155555556,0.111111111,0.133333333,0.111111111,0.557692308,0.442307692,0.5,0.038461538,0.096153846,0.019230769,0.346153846,0.826923077,0.72,0.25,0.274509804,0.346153846,0.384615385,0.269230769,27.73615385,0.18,0.28,0.26,0.16,0.12,0.254901961
1049,1,49,2004,22,NA,NA,NA,0.24,54.72,0.64,1,NA,NA,NA,0.08,0.62,0.3,0.108695652,0.108695652,0.065217391,0.152173913,0.173913043,0.217391304,0.108695652,0.065217391,0.62,0.38,0.48,0.1,0.04,NA,0.38,0.8,0.54,0.3,0.24,0.391304348,0.391304348,0.217391304,26.88869565,0.06,0.2,0.34,0.24,0.16,0.326530612
1051,1,51,2004,11.95,NA,NA,NA,0.228070175,47.10526316,0.771929825,NA,NA,NA,NA,NA,0.456140351,0.543859649,0.056603774,NA,0.075471698,0.037735849,0.113207547,0.301886792,0.264150943,0.150943396,0.701754386,0.298245614,0.736842105,0.01754386,0.052631579,0.01754386,0.175438596,0.894736842,0.736842105,0.192982456,0.385964912,0.407407407,0.37037037,0.222222222,26.32666667,0.232142857,0.267857143,0.303571429,0.107142857,0.089285714,0.148148148
1055,1,55,2004,15.48387097,NA,NA,NA,0.215909091,49.25,0.579545455,NA,NA,NA,NA,0.034090909,0.375,0.590909091,0.073170732,0.06097561,0.109756098,0.195121951,0.243902439,0.170731707,0.109756098,0.036585366,0.579545455,0.420454545,0.556818182,0.102272727,0.056818182,0.011363636,0.272727273,0.784090909,0.636363636,0.264367816,0.454545455,0.34939759,0.301204819,0.34939759,27.97951807,0.227272727,0.193181818,0.397727273,0.102272727,0.079545455,0.229885057
1069,1,69,2004,15.7,NA,NA,NA,0.136363636,50.42424242,0.575757576,NA,NA,NA,NA,0.03030303,0.46969697,0.5,0.035087719,0.052631579,0.122807018,0.052631579,0.157894737,0.263157895,0.192982456,0.122807018,0.636363636,0.363636364,0.621212121,0.03030303,0.075757576,NA,0.272727273,0.848484848,0.636363636,0.242424242,0.348484848,0.353846154,0.384615385,0.261538462,27.09246154,0.136363636,0.333333333,0.348484848,0.075757576,0.106060606,0.153846154
1073,1,73,2004,11.34782609,NA,NA,NA,0.136116152,49.9689781,0.686594203,0.333333333,0.5,NA,0.166666667,0.039927405,0.375680581,0.584392015,0.068893528,0.083507307,0.11691023,0.112734864,0.167014614,0.146137787,0.129436326,0.175365344,0.457350272,0.542649728,0.515426497,0.058076225,0.085299456,0.029038113,0.31215971,0.851449275,0.695652174,0.219600726,0.434545455,0.367231638,0.346516008,0.286252354,27.7605838,0.181488203,0.277676951,0.335753176,0.137931034,0.067150635,0.196296296
1077,1,77,2004,12.51612903,NA,NA,NA,0.227272727,49,0.636363636,NA,NA,NA,NA,0.060606061,0.363636364,0.575757576,0.137931034,0.103448276,0.103448276,0.051724138,0.189655172,0.189655172,0.224137931,NA,0.5,0.5,0.484848485,0.106060606,0.075757576,0.045454545,0.287878788,0.8,0.727272727,0.246153846,0.338461538,0.419354839,0.290322581,0.290322581,27.84387097,0.166666667,0.272727273,0.287878788,0.212121212,0.060606061,0.257575758
1081,1,81,2004,10.31034483,NA,NA,NA,0.175,46.6625,0.7,NA,NA,NA,NA,0.0375,0.3875,0.575,0.073529412,0.102941176,0.147058824,0.058823529,0.117647059,0.176470588,0.117647059,0.205882353,0.55,0.45,0.5875,0.05,0.0875,0.0875,0.1875,0.8625,0.7625,0.325,0.392405063,0.459459459,0.337837838,0.202702703,26.30243243,0.101265823,0.417721519,0.329113924,0.139240506,0.012658228,0.155844156
