"","state","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","hlthplan","exercise","smoke","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm","full"
"1",1,2001,10.4345864661654,0.0479006505026611,0.0517857142857143,0.0384843102427472,0.100879765395894,47.0826934435913,0.631301289566237,0.6875,0.1875,0,0.125,0.0381903642773208,0.415393654524089,0.54641598119859,0.0901201602136182,0.0787716955941255,0.0967957276368491,0.114819759679573,0.152202937249666,0.168891855807744,0.144859813084112,0.153538050734312,0.514117647058824,0.485882352941176,0.583675866118614,0.0475631238990018,0.0833822665883735,0.0352319436288902,0.25014679976512,0.862352941176471,0.679953106682298,0.253968253968254,0.390909090909091,0.358181818181818,0.250909090909091,271267.481818182,0.201409277745156,0.30064591896653,0.288314738696418,0.140927774515561,0.0687022900763359,0.211764705882353,"alabama"
"2",2,2001,8.99154929577465,NA,NA,NA,0.108324625566005,43.3640845070423,0.527304347826087,0.576470588235294,0.0588235294117647,0.0352941176470588,0.329411764705882,0.0243817485196796,0.377917102055033,0.597701149425287,0.0509849362688297,0.048667439165701,0.078408651989185,0.0884511394360757,0.136346079567401,0.184241019698725,0.203167246040942,0.20973348783314,0.520069808027923,0.479930191972077,0.706950750960531,0.0681103737338456,0.0593782745371987,0.0258470136220747,0.13971358714635,0.822501747030049,0.776270006958942,0.286113049546406,0.366437114896702,0.387821674519754,0.245741210583545,273052.880028996,0.241114982578397,0.341811846689895,0.293031358885017,0.0881533101045296,0.0358885017421603,0.171278458844133,"alaska"
"3",4,2001,9.95188101487314,NA,NA,NA,0.125717932354818,48.2171521035599,0.587822760599299,0.833333333333333,0,0,0.166666666666667,0.0406530089628681,0.34955185659411,0.609795134443022,0.0517897943640518,0.0575019040365575,0.0993907083015994,0.122619954303123,0.179360243716679,0.19002284843869,0.15041888804265,0.148895658796649,0.527751042669233,0.472248957330767,0.5567636712504,0.0470099136552606,0.0789894467540774,0.0326191237607931,0.284617844579469,0.827398139236445,0.778984350047908,0.219667943805875,0.450713800135962,0.359619306594154,0.189666893269884,262616.986403807,0.235897435897436,0.3125,0.283012820512821,0.117948717948718,0.0506410256410256,0.199871258448664,"arizona"
"4",5,2001,10.5958904109589,0.0437817258883249,0.0444162436548223,0.0304375396322131,0.113149847094801,47.0135635018496,0.592298288508557,0.666666666666667,0.133333333333333,0,0.133333333333333,0.0361077111383109,0.406976744186047,0.556915544675643,0.068073519400953,0.0578624914908101,0.102791014295439,0.119809394145677,0.171545268890402,0.18856364874064,0.145677331518039,0.145677331518039,0.553855569155447,0.446144430844553,0.609785932721713,0.0342507645259939,0.0672782874617737,0.0354740061162079,0.253211009174312,0.862829148805879,0.724159021406728,0.23973022685469,0.418250950570342,0.359949302915082,0.221799746514575,267239.864385298,0.186544342507645,0.311926605504587,0.322324159021407,0.110703363914373,0.0685015290519878,0.215213358070501,"arkansas"
"5",6,2001,9.01616458486407,NA,NA,NA,0.129115373604352,45.7234344006801,0.588951841359773,0.558333333333333,0.15,0.0666666666666667,0.216666666666667,0.0620748299319728,0.288832199546485,0.649092970521542,0.08274158690954,0.0756406298240198,0.0682309354739117,0.0737882062364928,0.110836677987033,0.143562828033344,0.175671503550479,0.269527631985181,0.481691739994323,0.518308260005677,0.633786848072562,0.0462018140589569,0.100907029478458,0.0320294784580499,0.187074829931973,0.867763904653802,0.760011524056468,0.165340909090909,0.445604873803307,0.348999129677981,0.205395996518712,263624.785320569,0.263456090651558,0.331728045325779,0.261189801699717,0.108498583569405,0.0351274787535411,0.170598388952819,"california"
"6",8,2001,9.55414012738854,0.0315594059405941,0.0347394540942928,0.0154894671623296,0.13410900183711,43.7983920841064,0.571253822629969,0.525,0.125,0,0.175,0.0287813839559094,0.290875688916105,0.680342927127985,0.0429818670248489,0.0443250503693754,0.058428475486904,0.0799194089993284,0.161182001343183,0.204163868368032,0.171255876427132,0.237743451981195,0.509225092250922,0.490774907749078,0.695039804041641,0.0404164115125536,0.0753214941824862,0.0361298224127373,0.153092467850582,0.864333947206875,0.81640146878825,0.218673218673219,0.49326491340603,0.351507376523412,0.155227710070558,256604.926234766,0.23302752293578,0.36697247706422,0.277675840978593,0.0923547400611621,0.0299694189602446,0.16871921182266,"colorado"
"7",9,2001,9.88370283936212,NA,NA,NA,0.124725629438347,47.8070106341079,0.586816305469556,0.67741935483871,0.225806451612903,0.032258064516129,0.0645161290322581,0.0235507246376812,0.329968944099379,0.64648033126294,0.0319493749035345,0.0418274425065597,0.0555641302670165,0.0736224726037969,0.127797499614138,0.163759839481401,0.200030868961259,0.305448371662294,0.52970168612192,0.47029831387808,0.659032091097309,0.0415372670807453,0.0566770186335404,0.0249741200828157,0.21777950310559,0.919519441932567,0.757262750161394,0.211160020714656,0.457373903508772,0.361156798245614,0.181469298245614,261684.953262061,0.271208392695247,0.345033026809999,0.262271726460303,0.0887190778396581,0.0327677761947934,0.165323628801664,"connecticut"
"8",10,2001,10.5905017921147,NA,NA,NA,0.106835152211373,47.966724537037,0.614457831325301,0.448979591836735,0.285714285714286,0.0408163265306122,0.224489795918367,0.0207015526164462,0.417193789534215,0.562104657849339,0.0794871794871795,0.0578754578754579,0.0641025641025641,0.0611721611721612,0.14029304029304,0.201465201465201,0.179487179487179,0.216117216117216,0.524741081703107,0.475258918296893,0.621264367816092,0.0362068965517241,0.0589080459770115,0.032183908045977,0.251436781609195,0.917336394948335,0.718507890961263,0.24683908045977,0.405683192261185,0.376058041112455,0.21825876662636,268346.432285369,0.201666187877047,0.347601264004596,0.301062912956047,0.11490950876185,0.0347601264004596,0.167912593444508,"delaware"
"9",11,2001,9.43076923076923,0.0255555555555556,0.0317195325542571,0.0210643015521064,0.125662778366914,45.1570964247021,0.585275423728814,0.181818181818182,0.727272727272727,0,0.0909090909090909,0.0302708443972384,0.27190653212958,0.697822623473181,0.0519242516799023,0.0427611484422724,0.0794135613927917,0.0830788026878436,0.131337813072694,0.166157605375687,0.167990226023213,0.277336591325596,0.272141706924316,0.727858293075684,0.685774946921444,0.0610403397027601,0.0270700636942675,0.0504246284501062,0.175690021231422,0.900212314225053,0.78525980911983,0.209883103081828,0.491638795986622,0.312151616499443,0.196209587513935,262657.861761427,0.28480340063762,0.352284803400638,0.24548352816153,0.0850159404888417,0.0324123273113709,0.129828326180257,"district of columbia"
"10",12,2001,10.2314261315115,NA,NA,NA,0.0984402965993352,48.5588464536243,0.590352220520674,0.722222222222222,0.166666666666667,0,0.111111111111111,0.0348717948717949,0.365128205128205,0.6,0.0520801232665639,0.0567026194144838,0.0936825885978428,0.120801232665639,0.155624036979969,0.184591679506934,0.165485362095532,0.171032357473035,0.497692307692308,0.502307692307692,0.572673673417073,0.0469110484491156,0.0684439887208408,0.0343501666239426,0.277621122789028,0.848578016910069,0.733333333333333,0.218493852459016,0.463567156063078,0.352637302882001,0.183795541054921,260927.206090266,0.243312757201646,0.306584362139918,0.298868312757202,0.108281893004115,0.0429526748971193,0.174047373841401,"florida"
