"fips","state","county","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","HLTHPLN1","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm"
1001,1,1,2011,11.8181818181818,0.0813953488372093,0.0941176470588235,0.0697674418604651,0.0930232558139535,51.9651162790698,0.627906976744186,0,0,0,1,0.0465116279069767,0.418604651162791,0.534883720930233,0.0285714285714286,0.0857142857142857,0.114285714285714,0.1,0.128571428571429,0.157142857142857,0.157142857142857,0.228571428571429,0.558139534883721,0.441860465116279,0.5,0.0232558139534884,0.0697674418604651,0.0232558139534884,0.383720930232558,0.825581395348837,0.707317073170732,0.232558139534884,0.407407407407407,0.333333333333333,0.404761904761905,0.261904761904762,27.6789285714286,0.104651162790698,0.313953488372093,0.325581395348837,0.209302325581395,0.0465116279069767,0.378048780487805
1003,1,3,2011,13.5675675675676,0.0526315789473684,0.093984962406015,0.0601503759398496,0.0792452830188679,57.2781954887218,0.616541353383459,1,0,0,0,0.0339622641509434,0.381132075471698,0.584905660377358,0.0582959641255605,0.0538116591928251,0.0941704035874439,0.130044843049327,0.139013452914798,0.147982062780269,0.143497757847534,0.233183856502242,0.550943396226415,0.449056603773585,0.4,0.0641509433962264,0.060377358490566,0.00754716981132075,0.467924528301887,0.856603773584906,0.7,0.188679245283019,0.485943775100402,0.396887159533074,0.35408560311284,0.249027237354086,26.9562256809339,0.203007518796992,0.259398496240602,0.296992481203008,0.172932330827068,0.0676691729323308,0.341085271317829
1005,1,5,2011,13.3928571428571,0.0779220779220779,0.131578947368421,0.177215189873418,0.10126582278481,61.0632911392405,0.658227848101266,0,1,0,0,0.0379746835443038,0.493670886075949,0.468354430379747,0.112903225806452,0.193548387096774,0.129032258064516,0.129032258064516,0.0967741935483871,0.0967741935483871,0.129032258064516,0.112903225806452,0.455696202531646,0.544303797468354,0.240506329113924,0.0379746835443038,0.10126582278481,0.0379746835443038,0.582278481012658,0.924050632911392,0.597402597402597,0.227848101265823,0.236842105263158,0.253333333333333,0.386666666666667,0.36,29.8042666666667,0.0641025641025641,0.205128205128205,0.41025641025641,0.192307692307692,0.128205128205128,0.402597402597403
1007,1,7,2011,14.9047619047619,0.12280701754386,0.0714285714285714,0.0701754385964912,0.157894736842105,52.1578947368421,0.631578947368421,NA,NA,NA,NA,0.0526315789473684,0.456140350877193,0.491228070175439,0.18,0.1,0.12,0.12,0.16,0.12,0.14,0.06,0.526315789473684,0.473684210526316,0.368421052631579,0.0526315789473684,0.105263157894737,0.0526315789473684,0.421052631578947,0.821428571428571,0.642857142857143,0.280701754385965,0.314814814814815,0.425925925925926,0.185185185185185,0.388888888888889,27.6772222222222,0.087719298245614,0.245614035087719,0.368421052631579,0.175438596491228,0.12280701754386,0.381818181818182
1009,1,9,2011,16,0.0333333333333333,0.0166666666666667,0.0333333333333333,0.0862068965517241,53.1333333333333,0.65,1,0,0,0,0.0666666666666667,0.383333333333333,0.55,0.08,0.04,0.06,0.06,0.16,0.28,0.08,0.24,0.616666666666667,0.383333333333333,0.433333333333333,0.0666666666666667,0.133333333333333,0.0166666666666667,0.35,0.85,0.661016949152542,0.241379310344828,0.280701754385965,0.258620689655172,0.5,0.241379310344828,27.8458620689655,0.220338983050847,0.23728813559322,0.254237288135593,0.11864406779661,0.169491525423729,0.338983050847458
1013,1,13,2011,9.3,0.09375,0.032258064516129,0.0769230769230769,0.107692307692308,55.9538461538462,0.738461538461539,NA,NA,NA,NA,0.0923076923076923,0.523076923076923,0.384615384615385,0.117647058823529,0.0980392156862745,0.156862745098039,0.117647058823529,0.215686274509804,0.117647058823529,0.0588235294117647,0.117647058823529,0.446153846153846,0.553846153846154,0.353846153846154,0.0307692307692308,0.0923076923076923,0.0461538461538462,0.476923076923077,0.892307692307692,0.639344262295082,0.292307692307692,0.213114754098361,0.354838709677419,0.354838709677419,0.290322580645161,27.5620967741935,0.1875,0.140625,0.359375,0.234375,0.078125,0.241935483870968
1015,1,15,2011,13.4878048780488,0.055793991416309,0.0745614035087719,0.0723404255319149,0.141025641025641,57.8448275862069,0.680851063829787,0.5,0.5,0,0,0.0340425531914894,0.45531914893617,0.51063829787234,0.068421052631579,0.142105263157895,0.0947368421052632,0.142105263157895,0.131578947368421,0.110526315789474,0.152631578947368,0.157894736842105,0.508547008547009,0.491452991452991,0.367521367521368,0.0854700854700855,0.0769230769230769,0.00854700854700855,0.461538461538462,0.893617021276596,0.638392857142857,0.188841201716738,0.290322580645161,0.337837837837838,0.351351351351351,0.310810810810811,28.0448198198198,0.0936170212765957,0.25531914893617,0.348936170212766,0.170212765957447,0.131914893617021,0.405286343612335
1017,1,17,2011,15,0.149253731343284,0.0923076923076923,0.104477611940299,0.164179104477612,61.0909090909091,0.701492537313433,0.5,0,0,0.5,0.0447761194029851,0.641791044776119,0.313432835820896,0.148148148148148,0.166666666666667,0.148148148148148,0.0925925925925926,0.185185185185185,0.148148148148148,0.0925925925925926,0.0185185185185185,0.388059701492537,0.611940298507463,0.208955223880597,0.0597014925373134,0.0298507462686567,0.0149253731343284,0.686567164179104,0.865671641791045,0.545454545454545,0.194029850746269,0.171875,0.355932203389831,0.23728813559322,0.406779661016949,29.1686440677966,0.0757575757575758,0.181818181818182,0.318181818181818,0.287878787878788,0.136363636363636,0.333333333333333
1019,1,19,2011,8.58823529411765,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.228571428571429,55.0285714285714,0.657142857142857,NA,NA,NA,NA,0.0571428571428571,0.657142857142857,0.285714285714286,0.0344827586206897,0.103448275862069,0.172413793103448,0.241379310344828,0.103448275862069,0.137931034482759,0.0689655172413793,0.137931034482759,0.685714285714286,0.314285714285714,0.4,0.0285714285714286,0.0571428571428571,0,0.514285714285714,0.914285714285714,0.685714285714286,0.257142857142857,0.235294117647059,0.303030303030303,0.393939393939394,0.303030303030303,28.0706060606061,0.0857142857142857,0.342857142857143,0.257142857142857,0.171428571428571,0.142857142857143,0.285714285714286
1021,1,21,2011,10.2631578947368,0.0333333333333333,0.116666666666667,0.116666666666667,0.133333333333333,55.6666666666667,0.766666666666667,NA,NA,NA,NA,0.0833333333333333,0.583333333333333,0.333333333333333,0.16,0.08,0.16,0.14,0.06,0.18,0.14,0.08,0.516666666666667,0.483333333333333,0.383333333333333,0.0833333333333333,0.0666666666666667,0.0333333333333333,0.433333333333333,0.75,0.586206896551724,0.266666666666667,0.140350877192982,0.228070175438596,0.298245614035088,0.473684210526316,30.5047368421053,0.0666666666666667,0.25,0.383333333333333,0.2,0.1,0.355932203389831
1023,1,23,2011,18.7,0.0526315789473684,0.0357142857142857,0.0526315789473684,0.12280701754386,52.140350877193,0.789473684210526,NA,NA,NA,NA,0.0701754385964912,0.543859649122807,0.385964912280702,0.276595744680851,0.106382978723404,0.148936170212766,0.127659574468085,0.0638297872340425,0.0851063829787234,0.106382978723404,0.0851063829787234,0.403508771929825,0.596491228070175,0.210526315789474,0.105263157894737,0.140350877192982,0.0350877192982456,0.508771929824561,0.789473684210526,0.607142857142857,0.232142857142857,0.173076923076923,0.283018867924528,0.245283018867925,0.471698113207547,29.6396226415094,0.0714285714285714,0.125,0.375,0.267857142857143,0.160714285714286,0.490909090909091
