fips,state,county,year,menthlth,heartattack,ACheartdis,stroke,asthma,age,sex,white,black,asian,race_other,educ1,educ2,educ3,income1,income2,income3,income4,income5,income6,income7,income8,married,unmarried,employed,out_of_work,homemaker,student,employ_other,hlthplan,exercise,smoke,drink,bmi_cat1,bmi_cat2,bmi_cat3,bmi_cts,genhlth_ex,genhlth_vg,genhlth_go,genhlth_fa,genhlth_po,qlactlm
1003,1,3,2003,9.256410256,0.084033613,0.075630252,0.067226891,0.115702479,53.76859504,0.702479339,0.666666667,0.333333333,NA,NA,0.016528926,0.380165289,0.603305785,0.046728972,0.08411215,0.093457944,0.158878505,0.112149533,0.23364486,0.14953271,0.121495327,0.603305785,0.396694215,0.525,0.041666667,0.083333333,NA,0.35,0.884297521,0.702479339,0.223140496,0.508333333,0.478991597,0.243697479,0.277310924,26.62529412,0.158333333,0.391666667,0.25,0.108333333,0.091666667,0.233333333
1015,1,15,2003,12.35294118,0.076923077,0.111111111,0.043956044,0.129032258,50.75268817,0.623655914,1,NA,NA,NA,0.064516129,0.397849462,0.537634409,0.071428571,0.119047619,0.178571429,0.095238095,0.119047619,0.119047619,0.154761905,0.142857143,0.623655914,0.376344086,0.451612903,0.075268817,0.053763441,0.043010753,0.376344086,0.847826087,0.720430108,0.239130435,0.391304348,0.307692308,0.406593407,0.285714286,27.97681319,0.161290323,0.182795699,0.344086022,0.172043011,0.139784946,0.293478261
1051,1,51,2003,5.538461538,NA,NA,NA,0.14,48.62,0.56,1,NA,NA,NA,0.02,0.46,0.52,0.047619048,0.047619048,0.119047619,0.095238095,0.095238095,0.142857143,0.238095238,0.214285714,0.6,0.4,0.56,0.04,0.12,0.04,0.24,0.92,0.76,0.3,0.42,0.29787234,0.468085106,0.234042553,27.29765957,0.32,0.22,0.34,0.12,NA,0.1
1055,1,55,2003,12.34615385,0.034883721,0.081395349,0.046511628,0.177777778,51.95555556,0.633333333,NA,NA,NA,NA,0.055555556,0.466666667,0.477777778,0.072289157,0.144578313,0.13253012,0.144578313,0.144578313,0.13253012,0.13253012,0.096385542,0.433333333,0.566666667,0.5,0.044444444,0.055555556,0.022222222,0.377777778,0.866666667,0.677777778,0.288888889,0.288888889,0.321428571,0.357142857,0.321428571,27.93666667,0.101123596,0.269662921,0.303370787,0.247191011,0.078651685,0.333333333
1069,1,69,2003,14.22580645,0.073529412,0.058823529,0.014705882,0.072463768,49.94202899,0.608695652,0.666666667,0.333333333,NA,NA,0.043478261,0.275362319,0.68115942,0.06557377,0.06557377,0.131147541,0.081967213,0.196721311,0.180327869,0.098360656,0.180327869,0.492753623,0.507246377,0.492753623,0.101449275,0.086956522,NA,0.31884058,0.927536232,0.768115942,0.275362319,0.434782609,0.353846154,0.446153846,0.2,26.76815385,0.188405797,0.289855072,0.231884058,0.202898551,0.086956522,0.275362319
1073,1,73,2003,10.1043956,0.028397566,0.057259714,0.038617886,0.093567251,49.80555556,0.643274854,0.285714286,0.714285714,NA,NA,0.027290448,0.346978558,0.625730994,0.078774617,0.072210066,0.094091904,0.122538293,0.153172867,0.166301969,0.146608315,0.166301969,0.494140625,0.505859375,0.556640625,0.046875,0.095703125,0.021484375,0.279296875,0.872798434,0.692007797,0.239766082,0.500978474,0.378323108,0.357873211,0.263803681,27.2903681,0.18128655,0.313840156,0.307992203,0.148148148,0.048732943,0.20990099
1077,1,77,2003,15.46153846,0.08,0.1,0.1,0.156862745,53.06,0.588235294,NA,NA,NA,NA,0.058823529,0.392156863,0.549019608,0.046511628,0.069767442,0.139534884,0.162790698,0.255813953,0.209302326,0.069767442,0.046511628,0.68627451,0.31372549,0.529411765,0.019607843,0.098039216,0.019607843,0.333333333,0.921568627,0.725490196,0.078431373,0.176470588,0.395833333,0.291666667,0.3125,27.04208333,0.156862745,0.333333333,0.254901961,0.156862745,0.098039216,0.294117647
1081,1,81,2003,9.035714286,0.028985507,0.115942029,0.028985507,0.126760563,45.73239437,0.535211268,1,NA,NA,NA,0.057142857,0.342857143,0.6,0.1875,0.046875,0.046875,0.1875,0.140625,0.15625,0.140625,0.09375,0.342857143,0.657142857,0.422535211,0.056338028,0.084507042,0.169014085,0.267605634,0.857142857,0.774647887,0.225352113,0.528571429,0.450704225,0.267605634,0.281690141,26.93225352,0.257142857,0.371428571,0.185714286,0.114285714,0.071428571,0.185714286
1089,1,89,2003,12.06349206,0.058139535,0.046783626,0.035087719,0.111731844,49.3125,0.625698324,0.5,0.5,NA,NA,0.033519553,0.279329609,0.687150838,0.044025157,0.06918239,0.06918239,0.100628931,0.081761006,0.182389937,0.194968553,0.257861635,0.593220339,0.406779661,0.592178771,0.033519553,0.072625698,0.061452514,0.240223464,0.877094972,0.759776536,0.229050279,0.511235955,0.447674419,0.279069767,0.273255814,27.20627907,0.169491525,0.440677966,0.209039548,0.096045198,0.084745763,0.212643678
1095,1,95,2003,14.07692308,0.085714286,0.1,0.028985507,0.14084507,52.78873239,0.676056338,NA,NA,NA,NA,0.042253521,0.478873239,0.478873239,0.081967213,0.016393443,0.163934426,0.163934426,0.180327869,0.081967213,0.147540984,0.163934426,0.633802817,0.366197183,0.450704225,0.070422535,0.126760563,0.014084507,0.338028169,0.887323944,0.676056338,0.225352113,0.309859155,0.391304348,0.362318841,0.246376812,26.92028986,0.112676056,0.38028169,0.267605634,0.154929577,0.084507042,0.214285714
1097,1,97,2003,10.14912281,0.05904059,0.077205882,0.036764706,0.137323944,48.51245552,0.693661972,0.7,0.1,NA,0.2,0.028169014,0.478873239,0.492957746,0.070866142,0.094488189,0.153543307,0.106299213,0.141732283,0.173228346,0.157480315,0.102362205,0.51056338,0.48943662,0.514184397,0.070921986,0.117021277,0.024822695,0.273049645,0.876325088,0.696113074,0.279151943,0.413427562,0.362318841,0.344202899,0.293478261,27.58365942,0.180212014,0.296819788,0.28975265,0.169611307,0.06360424,0.234042553
1101,1,101,2003,11.3,0.025316456,0.050632911,0.03164557,0.130434783,49.06329114,0.639751553,0.25,0.5,NA,0.25,0.02484472,0.322981366,0.652173913,0.076923077,0.062937063,0.062937063,0.146853147,0.090909091,0.237762238,0.146853147,0.174825175,0.4875,0.5125,0.49689441,0.031055901,0.124223602,0.055900621,0.291925466,0.89375,0.645962733,0.192546584,0.452830189,0.4,0.316129032,0.283870968,27.90141935,0.2,0.28125,0.275,0.16875,0.075,0.259493671
1115,1,115,2003,10.52,0.090909091,0.072727273,0.072727273,0.109090909,53.6,0.563636364,NA,NA,NA,NA,0.036363636,0.636363636,0.327272727,0.041666667,0.083333333,0.104166667,0.145833333,0.145833333,0.25,0.125,0.104166667,0.545454545,0.454545455,0.381818182,0.054545455,0.109090909,0.018181818,0.436363636,0.890909091,0.727272727,0.290909091,0.272727273,0.396226415,0.339622642,0.264150943,26.58,0.090909091,0.272727273,0.309090909,0.163636364,0.163636364,0.272727273
1117,1,117,2003,9.387096774,0.035714286,0.026785714,0.008928571,0.093220339,48.16239316,0.627118644,0.6,0.2,NA,0.2,0.008547009,0.264957265,0.726495726,NA,0.029411765,0.019607843,0.029411765,0.147058824,0.245098039,0.215686275,0.31372549,0.63559322,0.36440678,0.703389831,0.042372881,0.084745763,0.016949153,0.152542373,0.949152542,0.830508475,0.177966102,0.559322034,0.442477876,0.371681416,0.185840708,26.15442478,0.271186441,0.449152542,0.220338983,0.042372881,0.016949153,0.170940171
1121,1,121,2003,10.36363636,0.08,0.06,0.02,0.057692308,49.90196078,0.673076923,NA,NA,NA,NA,0.019230769,0.384615385,0.596153846,0.042553191,0.063829787,0.106382979,0.234042553,0.127659574,0.234042553,0.106382979,0.085106383,0.596153846,0.403846154,0.519230769,0.057692308,0.096153846,0.019230769,0.307692308,0.884615385,0.653846154,0.153846154,0.346153846,0.31372549,0.294117647,0.392156863,29.06333333,0.038461538,0.230769231,0.5,0.153846154,0.076923077,0.31372549
1125,1,125,2003,13.64516129,0.065217391,0.065217391,0.043478261,0.135416667,46.69892473,0.666666667,NA,NA,NA,NA,0.0625,0.34375,0.59375,0.103448276,0.08045977,0.137931034,0.08045977,0.103448276,0.172413793,0.195402299,0.126436782,0.505263158,0.494736842,0.5625,0.041666667,0.09375,0.052083333,0.25,0.916666667,0.697916667,0.229166667,0.389473684,0.489130435,0.27173913,0.239130435,26.11152174,0.177083333,0.354166667,0.197916667,0.177083333,0.09375,0.229166667
1127,1,127,2003,15.22727273,0.109375,0.140625,0.03125,0.107692308,49.29230769,0.646153846,1,NA,NA,NA,0.061538462,0.492307692,0.446153846,0.066666667,0.133333333,0.1,0.15,0.116666667,0.2,0.116666667,0.116666667,0.584615385,0.415384615,0.476923077,0.076923077,0.092307692,0.030769231,0.323076923,0.784615385,0.569230769,0.369230769,0.338461538,0.31147541,0.295081967,0.393442623,28.75885246,0.107692308,0.246153846,0.261538462,0.215384615,0.169230769,0.359375
4001,4,1,2003,10.5,NA,NA,NA,0.097826087,49.41111111,0.652173913,NA,NA,NA,NA,0.032608696,0.391304348,0.576086957,0.148148148,0.086419753,0.061728395,0.12345679,0.185185185,0.197530864,0.12345679,0.074074074,0.510869565,0.489130435,0.571428571,0.054945055,0.054945055,0.032967033,0.285714286,0.752808989,0.782608696,0.141304348,0.391304348,0.409090909,0.318181818,0.272727273,27.20045455,0.255555556,0.266666667,0.322222222,0.1,0.055555556,0.164835165
