"","state","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","HLTHPLN1","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm"
"1",1,2012,12.7702828722412,0.0750723991980397,0.0827624929814711,0.0631590631590632,0.131907308377897,56.6822753687975,0.660868601816973,0.505376344086022,0.247311827956989,0.032258064516129,0.21505376344086,0.0326412790052182,0.427223270789386,0.540135450205396,0.0824265505984766,0.0916757344940152,0.106229597388466,0.116430903155604,0.123367791077258,0.141322089227421,0.141866158868335,0.196681175190424,0.502111580351189,0.497888419648811,0.371888888888889,0.0568888888888889,0.07,0.0227777777777778,0.478444444444444,0.878542060228914,0.700576880408254,0.184337484573095,0.337445739090701,0.308519246329904,0.348514622586984,0.342966131083112,28.6363079412785,0.128971339702288,0.258498111530771,0.321150855365474,0.191290824261275,0.100088869140191,0.335758254057079
"2",2,2012,10.516,0.0391203703703704,0.041105434277752,0.0337494220989367,0.132005558128763,49.3933395435491,0.540391254315305,0.55625,0.0375,0.025,0.38125,0.0210016155088853,0.33741057004385,0.641587814447265,0.0480279044808157,0.0531258384759861,0.0566138985779447,0.069224577408103,0.0971290582237725,0.134156157767642,0.178964314462034,0.362758250603703,0.533921933085502,0.466078066914498,0.604349838037945,0.0798241554835724,0.0576122165664044,0.027302174919019,0.230911614993059,0.838814265863826,0.799123616236162,0.197328333723928,0.549621928166352,0.330320058636697,0.381138529196189,0.288541412167115,27.8734424627413,0.192005545286506,0.331792975970425,0.316312384473198,0.111829944547135,0.0480591497227357,0.227845149253731
"3",4,2012,10.8452433143358,0.073905862923204,0.0670437301696786,0.0416552103381908,0.140071408953584,57.7280410085896,0.590884204763208,0.622641509433962,0.132075471698113,0.0943396226415094,0.150943396226415,0.0372508591065292,0.309965635738832,0.652783505154639,0.0678703852974367,0.0773819119780751,0.0975334515556989,0.105432855070127,0.120264388199258,0.151378365307109,0.152829276156698,0.227309366435596,0.517731475093142,0.482268524906858,0.404712691194709,0.0610445087501722,0.0839189747829682,0.0238390519498415,0.426484773322309,0.874570682786097,0.761427590940288,0.152801120448179,0.50485027414593,0.380952380952381,0.358077974392174,0.260969644655445,27.248764206589,0.178213746741666,0.316778707641652,0.301687474276307,0.137055837563452,0.0662642337769241,0.262505225024383
"4",5,2012,12.1037037037037,0.0818622696411251,0.08984375,0.0592449177153921,0.1267660150958,57.3217763926763,0.621361095045306,0.756410256410256,0.0897435897435897,0,0.153846153846154,0.0392498066511988,0.454949729311678,0.505800464037123,0.0833139939661174,0.103504293339522,0.112555117196565,0.106753307031794,0.122302158273381,0.15177535391042,0.145277326525876,0.174518449756324,0.505818463925524,0.494181536074476,0.409461031407522,0.0490500193873594,0.0752229546335789,0.0217138425746413,0.444552151996898,0.84601975595584,0.661770390413607,0.200236266981689,0.350731514432582,0.321262391260368,0.35201294760267,0.326724661136961,28.3394740036415,0.127927230501258,0.27907876911167,0.314302303077221,0.180181923746855,0.0985097735629959,0.305327066196631
"5",6,2012,10.2705341757611,0.0434065934065934,0.0510421682603013,0.0341299272078011,0.144368131868132,53.1806013179572,0.574859338548099,0.503370786516854,0.150561797752809,0.101123595505618,0.244943820224719,0.0662763955676354,0.245940483657398,0.687783120774967,0.0937594898269056,0.0787276040085029,0.0673398117218342,0.0680989978742788,0.093000303674461,0.121242028545399,0.145080473732159,0.332751290616459,0.492558908639934,0.507441091360066,0.482985116344071,0.0820347984068199,0.082314303682482,0.0367549437495633,0.315910837817064,0.843548165452796,0.806671055518982,0.11221893694561,0.568225039619651,0.403781327861644,0.356001758757145,0.240216913381211,26.9859724461381,0.225188743994509,0.314893617021277,0.276733013040494,0.132601235415237,0.0505833905284832,0.240810871018044
"6",8,2012,9.73756694720734,0.0441260744985673,0.0455704532368183,0.0277959450621321,0.121821600850298,54.448909016056,0.564096287229702,0.570212765957447,0.0638297872340425,0.0468085106382979,0.319148936170213,0.0222003768329647,0.281232079954125,0.696567543212911,0.0439899131409358,0.0505276921640049,0.0674325207807976,0.0879798262818717,0.103483702250864,0.1488745680396,0.169421873540674,0.328289903801252,0.570279146141215,0.429720853858785,0.541875153801985,0.0570912968583381,0.0664424575506521,0.0262488721187761,0.308342219670249,0.875696036685228,0.827028351989542,0.149009179034057,0.598949814926401,0.433479343811732,0.35832689169458,0.208193764493687,26.5516078330327,0.212858312858313,0.35986895986896,0.273791973791974,0.10990990990991,0.0435708435708436,0.238119614367375
"7",9,2012,10.4434389140271,0.0506633119853614,0.0547286466681933,0.0313071297989031,0.136571428571429,54.9853280961183,0.585696389932809,0.554054054054054,0.297297297297297,0.0135135135135135,0.135135135135135,0.0232159194876487,0.300434583714547,0.676349496797804,0.0458199356913183,0.0389871382636656,0.0633708467309753,0.0752947481243301,0.087620578778135,0.132904608788853,0.153804930332262,0.402197213290461,0.504421729642816,0.495578270357184,0.536540664375716,0.0698739977090493,0.054524627720504,0.0266895761741123,0.312371134020619,0.915838757565376,0.768264840182648,0.137414333836683,0.625863886611222,0.372954764196343,0.37235322425409,0.254692011549567,27.2771162175168,0.210604502342589,0.357901954062393,0.28042509427494,0.109816021026168,0.0412524282939093,0.215731636784268
"8",10,2012,10.8058191018343,0.0673114119922631,0.0645035943267923,0.04570100697134,0.129694154084398,54.7253562365801,0.612485504445303,0.569767441860465,0.267441860465116,0.0232558139534884,0.13953488372093,0.0145151925682214,0.352428875556416,0.633055931875363,0.0720053835800808,0.0625841184387618,0.0580978017048004,0.0610139075818753,0.109017496635262,0.145580978017048,0.17205024674742,0.319650067294751,0.526856699631569,0.473143300368431,0.515098722415796,0.0542005420054201,0.0338753387533875,0.0257452574525745,0.371080139372822,0.92015503875969,0.755027068832173,0.16614846482705,0.541041138623513,0.343446601941748,0.38207928802589,0.274474110032362,27.7149190938511,0.182856037151703,0.338235294117647,0.304953560371517,0.130417956656347,0.0435371517027864,0.20995545225644
"9",11,2012,10.1718213058419,0.0427709262660719,0.0503161222339305,0.0421907756813417,0.133858267716535,55.590093708166,0.599425137183172,0.22,0.62,0.06,0.1,0.0197005516154452,0.22668768058839,0.753611767796165,0.0680313064419025,0.0481637567730283,0.0580975316074654,0.067730282962071,0.0683323299217339,0.101444912703191,0.118904274533414,0.469295605057194,0.347435219460603,0.652564780539397,0.536521282186022,0.0680504466631634,0.0281135049921177,0.0275880189174987,0.339726747241198,0.946236559139785,0.804034582132565,0.136559139784946,0.615239124560929,0.431942919868277,0.335345773874863,0.232711306256861,26.8786004390779,0.238382777631924,0.336046206353374,0.276713048044106,0.10947755316356,0.039380414807036,0.206869009584665
"10",12,2012,12.2069392812887,0.0742698559534822,0.0786159353042556,0.0481895984200132,0.121168267333246,58.2581929149529,0.600865687303253,0.612403100775194,0.193798449612403,0.062015503875969,0.131782945736434,0.0301792303637322,0.347654190827623,0.622166578808645,0.0670183059261557,0.0766366739062985,0.0941669252249457,0.115420415761713,0.121625814458579,0.148309028855104,0.139621470679491,0.237201365187713,0.488169200264375,0.511830799735625,0.402821729957806,0.0650052742616034,0.0709388185654008,0.0253164556962025,0.435917721518987,0.857011070110701,0.751477735452515,0.150435365036839,0.515037086985839,0.374897006316946,0.362537764350453,0.262565229332601,27.451099972535,0.185552033808769,0.298468040147913,0.297543581616482,0.146196513470681,0.0722398309561543,0.267067468269873
