"","state","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","hlthplan","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm","full"
"1",1,2002,NA,NA,NA,NA,0.117961165048544,49.3001949317739,0.669089147286822,0.642857142857143,0.142857142857143,0,0.214285714285714,0.045079980610761,0.429471643238003,0.525448376151236,0.0861878453038674,0.0674033149171271,0.111049723756906,0.103314917127072,0.158563535911602,0.174033149171271,0.146961325966851,0.152486187845304,0.538573508005822,0.461426491994178,0.545058139534884,0.0542635658914729,0.0983527131782946,0.0251937984496124,0.277131782945736,0.879786718371304,0.717538759689923,0.219689621726479,0.400679941719281,0.400905432595573,0.361167002012072,0.237927565392354,2685.74748490946,0.175072744907856,0.304073714839961,0.311348205625606,0.14015518913676,0.0693501454898157,0.172690763052209,"alabama"
"2",2,2002,8.98157894736842,NA,NA,NA,0.115985130111524,44.5003731343284,0.559391239792131,0.473684210526316,0.0842105263157895,0.0315789473684211,0.410526315789474,0.0267558528428094,0.386845039018952,0.586399108138239,0.048440065681445,0.0525451559934319,0.0726600985221675,0.090311986863711,0.14367816091954,0.180213464696223,0.186781609195402,0.225369458128079,0.52331219694144,0.47668780305856,0.683525474153961,0.0669393826701376,0.0650799553737449,0.0271476385273336,0.157307549274823,0.815022421524664,0.789747399702823,0.280297397769517,0.582647718773373,0.384969325153374,0.37691717791411,0.238113496932515,2723.55023006135,0.233172182967646,0.319821494979546,0.312383785793975,0.0955745630345853,0.0390479732242469,NA,"alaska"
"3",4,2002,NA,NA,NA,NA,0.13085311096857,51.260631443299,0.600896860986547,0.619047619047619,0.119047619047619,0,0.261904761904762,0.0227564102564103,0.344551282051282,0.632692307692308,0.0518212542245588,0.0642132932782576,0.0852422080360496,0.102140443109275,0.173488546751784,0.191513330829891,0.174615095756665,0.156965828013519,0.541773778920309,0.458226221079692,0.518138041733547,0.0449438202247191,0.0802568218298555,0.0314606741573034,0.325200642054575,0.854206807964033,0.767307692307692,0.204939063502245,0.581133290405666,0.455238726790451,0.357427055702918,0.187334217506631,2621.85311671088,0.221827575072651,0.333548595414918,0.283177268324185,0.110106554730384,0.0513400064578624,0.236937232993756,"arizona"
"4",5,2002,NA,NA,NA,NA,0.115126050420168,49.5901224145209,0.598656591099916,0.788461538461538,0.0769230769230769,0,0.134615384615385,0.0390920554854981,0.421185372005044,0.539722572509458,0.0578473210052157,0.0630630630630631,0.10004741583689,0.108108108108108,0.159317211948791,0.190611664295875,0.161213845424372,0.159791370317686,0.578328433431331,0.421671566568669,0.575094657130837,0.0382835506941523,0.0778291964661338,0.0256625999158603,0.283129995793016,0.856962557846024,0.721965560688786,0.245687841817417,0.428991596638655,0.397135416666667,0.368055555555556,0.234809027777778,2697.02256944444,0.20362563237774,0.290472175379427,0.308600337268128,0.125632377740304,0.0716694772344014,NA,"arkansas"
"5",6,2002,8.98099929627023,NA,NA,NA,0.135857461024499,46.3900946021146,0.590214067278288,0.421052631578947,0.157894736842105,0.144736842105263,0.276315789473684,0.0580033463469046,0.273284997211378,0.668711656441718,0.0651456019213449,0.0666466526568598,0.0711498048634044,0.0717502251576103,0.109576703692585,0.154608225758031,0.172020414290003,0.289102371660162,0.492749581706637,0.507250418293363,0.622836404243439,0.0575097710776103,0.085427135678392,0.0402010050251256,0.194025683975433,0.876495132127955,0.792604948568251,0.157762938230384,0.598259404828748,0.455747126436782,0.354885057471264,0.189367816091954,2622.57413793103,0.260917941585535,0.347148817802503,0.252294853963839,0.107371349095967,0.0322670375521558,0.188958451906659,"california"
"6",8,2002,NA,NA,NA,NA,0.127379209370425,46.3196938475125,0.595258999122037,0.6,0.0857142857142857,0.0285714285714286,0.285714285714286,0.0251903925014646,0.270064440538957,0.704745166959578,0.0378812199036918,0.0439807383627608,0.0590690208667737,0.0770465489566613,0.136436597110754,0.17207062600321,0.202568218298555,0.270947030497592,0.533841195429241,0.466158804570759,0.658764998536728,0.0485806262803629,0.0798946444249342,0.0324846356453029,0.180275095112672,0.872801875732708,0.821480831138426,0.196015235862877,0.658157276995305,0.486486486486487,0.357728515031886,0.155784998481628,2574.63285757668,0.247948417350528,0.360785463071512,0.267878077373974,0.0923212192262603,0.0310668229777257,NA,"colorado"
"7",9,2002,NA,NA,NA,NA,0.134758195978989,48.8719411223551,0.589256646771568,NA,NA,NA,NA,0.0239912758996728,0.316793893129771,0.659214830970556,0.0259935553168636,0.0328678839957035,0.0541353383458647,0.0747583243823845,0.112137486573577,0.162406015037594,0.198066595059076,0.339634801288937,0.562522719011269,0.437477280988731,0.64502085978596,0.0473426446580809,0.060221295120624,0.0248503537094141,0.222564846725921,0.915457184325109,0.789645184648805,0.189611333091173,0.666058394160584,0.45680450397981,0.359153562415065,0.184041933605125,2609.82314113764,0.283118299109577,0.345266218426313,0.250227148827912,0.0881337452298746,0.0332545884063238,NA,"connecticut"
"8",10,2002,NA,NA,NA,NA,0.117617742337403,49.3412738214644,0.604234122042341,0.4,0.36,0.08,0.16,0.0226876090750436,0.423335826477188,0.553976564447769,0.0774598743893929,0.0537334263782275,0.0586182833217027,0.0519888346127006,0.136078157711096,0.200976971388695,0.188764829030007,0.232379623168179,0.528457314028957,0.471542685971043,0.596758104738155,0.0271820448877805,0.0625935162094763,0.0266832917705736,0.286783042394015,0.921138008485151,0.7093399750934,0.23270911360799,0.538653366583541,0.399473684210526,0.367368421052632,0.233157894736842,2692.91894736842,0.20638881956576,0.338158223109558,0.295982031444971,0.114549538307961,0.0449213875717494,NA,"delaware"
"9",11,2002,NA,NA,NA,NA,0.14012474012474,45.8246505717916,0.585963455149502,0.266666666666667,0.6,0.133333333333333,0,0.0187265917602996,0.218893050353724,0.762380357885976,0.0457115928369463,0.0377002827521206,0.0527803958529689,0.0772855796418473,0.119227144203582,0.163996229971725,0.165881244109331,0.33741753063148,0.2744030163385,0.7255969836615,0.677217825905873,0.0491461890878801,0.0333194502290712,0.0453977509371095,0.194918783840067,0.912880366819508,0.816216216216216,0.198164372131831,0.658872651356994,0.506124234470691,0.321084864391951,0.172790901137358,2580.56955380577,0.313439065108514,0.328046744574291,0.254590984974958,0.080550918196995,0.0233722871452421,0.106603366422098,"district of columbia"
"10",12,2002,NA,NA,NA,NA,0.106183522624842,50.1926855895196,0.604676258992806,0.785714285714286,0.142857142857143,0,0.0714285714285714,0.0241615578795528,0.353227551388388,0.622610890732059,0.046016190881977,0.0568811248402216,0.0845760545377077,0.109714529186195,0.165743502343417,0.190881976991905,0.166169578184917,0.18001704303366,0.495664739884393,0.504335260115607,0.56233086776114,0.0508749774490348,0.0624210716218654,0.0315713512538337,0.292801731914126,0.844291907514451,0.731711711711712,0.215342960288809,0.5766092475068,0.448262768179229,0.366052781469527,0.185684450351244,2622.23922536548,0.243027888446215,0.32433900760594,0.282868525896414,0.101955813111192,0.047808764940239,NA,"florida"
"11",13,2002,NA,NA,NA,NA,0.126260739633919,45.4575311438279,0.63792459873087,0.3125,0.53125,0.03125,0.125,0.0336574420344054,0.333208676140613,0.633133881824981,0.0617647058823529,0.0487394957983193,0.0823529411764706,0.0911764705882353,0.152941176470588,0.186134453781513,0.165126050420168,0.211764705882353,0.493268511593119,0.506731488406881,0.645560134881978,0.0584488572499063,0.058074185088048,0.0344698388909704,0.203446983889097,0.866766467065868,0.752897196261682,0.201500938086304,0.504693954187007,0.435087719298246,0.338401559454191,0.226510721247563,2675.48927875244,0.227886056971514,0.342578710644678,0.281109445277361,0.0993253373313343,0.0491004497751124,NA,"georgia"
"12",15,2002,10.1573033707865,NA,NA,NA,0.137137137137137,49.1188318227593,0.565833333333333,0.311191992720655,0.00727934485896269,0.253867151956324,0.427661510464058,0.0235470941883768,0.377755511022044,0.598697394789579,0.0674318507890961,0.0758010521281683,0.0636059301769488,0.0772357723577236,0.134624581539933,0.202056432329029,0.189143950263032,0.190100430416069,0.539245156980628,0.460754843019372,0.631008010680908,0.0367156208277704,0.0610814419225634,0.028871829105474,0.242323097463284,0.913565826797931,0.831110370123374,0.200500417014178,0.473737373737374,0.481182333734319,0.352466059460388,0.166351606805293,2585.51520879876,0.202269692923899,0.349799732977303,0.31892523364486,0.0981308411214953,0.0308744993324433,0.134123935192918,"hawaii"
"13",16,2002,9.56450463292944,NA,NA,NA,0.120471215825739,48.4351810460438,0.581003106968486,0.802816901408451,0,0.0422535211267606,0.154929577464789,0.0217777777777778,0.382888888888889,0.595333333333333,0.0668962124938515,0.0725528775209051,0.0951795376291195,0.12075750122971,0.164535169699951,0.203148057058534,0.149040826364978,0.127889818002951,0.598488216985327,0.401511783014673,0.583592707870164,0.038683859493108,0.109159626500667,0.0326811916407292,0.235882614495331,0.847540618740263,0.795959147424512,0.19247886070316,0.486101845674894,0.416203703703704,0.369212962962963,0.214583333333333,2664.81018518519,0.229828850855746,0.326961547010447,0.287841742609469,0.112247166036897,0.0431206934874417,NA,"idaho"
"14",17,2002,8.85602503912363,NA,NA,NA,0.112,45.9899172699069,0.593758060355945,0.56,0.16,0.08,0.2,0.042129749289222,0.304212974928922,0.653657275781856,0.0437610881135423,0.0413956238911886,0.0700768775872265,0.0884092253104672,0.125369603784743,0.178296865759905,0.189828503843879,0.262862211709048,0.522121604139715,0.477878395860285,0.640237603305785,0.0588842975206612,0.0754132231404959,0.0369318181818182,0.18853305785124,0.88840092999225,0.728140314676296,0.218459152016546,0.5980341438179,0.431265373052747,0.354195135282864,0.214539491664389,2651.42361300902,0.21749226006192,0.352167182662539,0.290763673890609,0.101135190918473,0.0384416924664603,NA,"illinois"
"15",18,2002,NA,0.0436517834871539,0.0470588235294118,0.0227045908183633,0.119007468079981,47.2791767554479,0.608026916606585,0.564516129032258,0.17741935483871,0.0161290322580645,0.241935483870968,0.0207029369282619,0.419595570534425,0.559701492537313,0.0523001095290252,0.0533953997809419,0.0818729463307777,0.093921139101862,0.149780941949617,0.187020810514786,0.186473165388828,0.195235487404162,0.53888755116783,0.46111244883217,0.620365912373616,0.0438131921039961,0.0869041887337506,0.0349061145883486,0.214010592200289,0.879730055435045,0.727338302476557,0.257335257335257,0.522283787039268,0.396183781069546,0.368315340195832,0.235500878734622,2704.05874968617,0.194845857418112,0.328516377649326,0.309248554913295,0.124518304431599,0.0428709055876686,0.124752475247525,"indiana"
