"state","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","hlthplan","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm"
1,2009,13.2029725963771,0.0689297361399348,0.0633666318771433,0.0590057530609234,0.12655233589592,55.8000891795482,0.689203122698483,0.444444444444444,0.361111111111111,0,0.194444444444444,0.0415250480271908,0.450864489434018,0.507610462538791,0.0796509468993687,0.0872632751578166,0.110657259561827,0.116784255477163,0.118640920906053,0.147604901596732,0.144819903453398,0.194578536947642,0.522690317812269,0.477309682187731,0.398966026587888,0.0657311669128508,0.079615952732644,0.0149187592319055,0.440768094534712,0.876236892630335,0.647449130050133,0.189757252812315,0.305104926328323,0.306094182825485,0.357340720221607,0.336565096952909,28.4658694983072,0.144377124279592,0.251662479680804,0.327619329097089,0.180138909413329,0.0962021575291858,0.283392963625522
2,2009,9,0.0421661843737081,0.0373134328358209,0.0297152290548906,0.141443298969072,49.1686094920899,0.546052631578947,0.511627906976744,0.0581395348837209,0.0116279069767442,0.418604651162791,0.0197693574958814,0.364497528830313,0.615733113673806,0.0430260047281324,0.0477541371158392,0.057210401891253,0.0605200945626478,0.0817966903073286,0.151300236406619,0.19338061465721,0.365011820330969,0.554082055532532,0.445917944467468,0.626760563380282,0.0956917978458989,0.0592377796188898,0.0190555095277548,0.199254349627175,0.821087588210876,0.765483071841453,0.211945250933223,0.544922691182616,0.338461538461538,0.373076923076923,0.288461538461538,27.8070641025641,0.188405797101449,0.335403726708075,0.330020703933747,0.108074534161491,0.0380952380952381,0.234131988230349
4,2009,10.9758064516129,0.0702722590139809,0.0640622107017219,0.0488653001464129,0.142752562225476,57.9305325225723,0.620639269406393,0.666666666666667,0.0793650793650794,0.0317460317460317,0.222222222222222,0.0403225806451613,0.320564516129032,0.639112903225806,0.0584608843537415,0.0703656462585034,0.0901360544217687,0.0999149659863946,0.12266156462585,0.159438775510204,0.160289115646259,0.238732993197279,0.557166452560103,0.442833547439897,0.414008067473414,0.0577557755775578,0.0925925925925926,0.015034836817015,0.420608727539421,0.887017029848013,0.748582921923569,0.152365236523652,0.481152993348115,0.359258551500096,0.37894133384292,0.261800114656984,27.4175367857825,0.184913468773514,0.306621519939804,0.300413844996238,0.147479307750188,0.0605718585402558,0.261472982975574
5,2009,11.4763877381939,0.0749185667752443,0.0797979797979798,0.0562781390695348,0.120650813516896,57.9271539814117,0.652282364679471,0.660714285714286,0.178571428571429,0.0178571428571429,0.142857142857143,0.04475,0.44025,0.515,0.0716382853787434,0.0822078684674104,0.103347034644745,0.099236641221374,0.130945390487375,0.155901350557839,0.146799765120376,0.209923664122137,0.554804804804805,0.445195195195195,0.448734018551015,0.042366507896716,0.0782150915016295,0.0120330910002507,0.418651291050389,0.870064967516242,0.650837290677331,0.185918316211476,0.353522554485555,0.329739679200631,0.357875361556666,0.312384959242703,28.1089718643176,0.131196795192789,0.28442663995994,0.320981472208312,0.176014021031547,0.0873810716074111,0.28901294087795
6,2009,10.1708798424163,0.0470215827338129,0.0505300760543904,0.0349272110017838,0.138008399010528,54.2284383624655,0.601770929162833,0.557324840764331,0.181528662420382,0.10828025477707,0.152866242038217,0.0767251461988304,0.262397660818713,0.660877192982456,0.0872390083895793,0.0776509178073551,0.0709014066738157,0.0650980886898379,0.0984671670977102,0.119535734561282,0.148993881284299,0.332113795496121,0.541846916998327,0.458153083001673,0.48477038425492,0.0797211808809747,0.0972352389878163,0.0236644798500469,0.314608716026242,0.890801289431269,0.783356337704164,0.114154972544234,0.543424623735505,0.389433319130805,0.361190577637105,0.24937610323209,27.1622375068476,0.221122871606075,0.313219052001841,0.280027611596871,0.135124252185918,0.0505062126092959,0.226625766871166
8,2009,9.60471567267684,0.0477990591397849,0.0451553004726536,0.0254109359275411,0.130069695188513,54.8384836203985,0.604048176647708,0.741935483870968,0.0451612903225806,0.0129032258064516,0.2,0.0202986076161718,0.290555275960409,0.689146116423419,0.0380377503113922,0.043020024911373,0.0643863179074447,0.0788540768420044,0.101465938488071,0.156750023953243,0.175816805595478,0.341669061990994,0.610296595888102,0.389703404111898,0.547068225792883,0.054176831833095,0.0859762766046942,0.0139648355346176,0.29881383023471,0.888171140939597,0.805413559037962,0.146950092421442,0.574005592134933,0.426183600245034,0.371051019515183,0.202765380239783,26.4997890960007,0.224846599983189,0.355131545767841,0.278473564764226,0.103639573001597,0.037908716483147,0.23342965504786
9,2009,10.1260162601626,0.0465296027206678,0.051063169331057,0.02994289242167,0.133929949081932,56.5378704720088,0.616379310344828,0.657142857142857,0.228571428571429,0,0.114285714285714,0.021164838560173,0.282867294917349,0.695967866522478,0.0337200870195794,0.0386149383611313,0.0587382160986222,0.0668963016678753,0.095540246555475,0.129441624365482,0.162255257432922,0.414793328498912,0.531341897539081,0.468658102460919,0.530328754437413,0.0694551628337706,0.0605031640685291,0.0143540669856459,0.325358851674641,0.92798766383963,0.750346527029108,0.129930394431555,0.624727838258165,0.398110441439974,0.369278384101645,0.232611174458381,26.9642466199707,0.228611720463804,0.342682544656847,0.287057348793482,0.0991852083986211,0.0424631776872454,0.21268307884076
10,2009,10.5243619489559,0.0647382920110193,0.0595293031841255,0.0388505747126437,0.126922194170301,55.8219273743017,0.631965145608805,0.43859649122807,0.245614035087719,0,0.315789473684211,0.0192837465564738,0.36386593204775,0.616850321395776,0.0601564607499326,0.0620447801456704,0.0588076611815484,0.0569193417858106,0.107364445643377,0.15727002967359,0.182087941731859,0.315349339088211,0.56409666283084,0.43590333716916,0.512967638283222,0.0454441129217351,0.0454441129217351,0.0137709433096167,0.382373192563691,0.931390546122074,0.740077999541179,0.168544492986894,0.522800552740672,0.329485329485329,0.373977873977874,0.296536796536797,27.9297739297739,0.16796875,0.359604779411765,0.306066176470588,0.124770220588235,0.0415900735294118,0.218311479181044
11,2009,8.9026622296173,0.0327826535880227,0.0341085271317829,0.0410677618069815,0.14788189987163,54.401986408782,0.614497950819672,0.347826086956522,0.456521739130435,0.0434782608695652,0.152173913043478,0.012589928057554,0.21813977389517,0.769270298047276,0.0613138686131387,0.0435036496350365,0.0592700729927007,0.0458394160583942,0.0843795620437956,0.104817518248175,0.131970802919708,0.468905109489051,0.327394784404854,0.672605215595146,0.563496143958869,0.0768637532133676,0.0300771208226221,0.0187660668380463,0.310796915167095,0.950462012320329,0.792714212416624,0.143483870967742,0.631164742917104,0.456008583690987,0.327789699570815,0.216201716738197,26.7083798283262,0.263296471827278,0.335703001579779,0.252238020010532,0.105581885202738,0.0431806213796735,0.211023622047244
12,2009,13.1684747925973,0.0770001670285619,0.0758568548387097,0.0484717248271841,0.123326403326403,58.718985434455,0.622231439236831,0.785714285714286,0.0714285714285714,0.0267857142857143,0.116071428571429,0.0309295539808253,0.393580658607753,0.575489787411421,0.054458408138839,0.0637342908438061,0.101436265709156,0.126770396967884,0.136943945741073,0.160881707560343,0.144424496309595,0.211350488729304,0.549161871403553,0.450838128596447,0.425189630741019,0.0615987330165875,0.0595982328915562,0.00983579228140368,0.443777611069434,0.861908327094252,0.71099659213698,0.173593723919212,0.449607106252135,0.362644079636745,0.363342647572476,0.274013272790779,27.5229261264408,0.188683968956021,0.28431945255779,0.303262955854127,0.154301927730952,0.0694316949011099,0.259986343461932
